 59Cu   59   29  255  716   39    7   12.761910    3.418550
 23   3.309000   3.5 -1  1.000E-15  3 u                  7/2(-)  0                                                                                                                                                                                                                              0.000000       
                                          4      1.910  2.993E-01  2.994E-01  3.100E-04
                                          3      2.395  4.488E-01  4.490E-01  5.100E-04
                                          1      3.309  2.513E-01  2.516E-01  9.330E-04
 24   3.309100   4.5  1  1.000E-15  0 c             (7/2+,9/2+)  0                                                                                                                                                                                                                              0.000100       
 25   3.329540   5.5 -1  1.000E-15  4 u                 (11/2-)  0                                                                                                                                                                                                                              0.000000  2    
                                         13      0.665  4.876E-01  4.878E-01  5.260E-04
                                         12      0.742  1.999E-01  2.000E-01  4.900E-04
                                          5      1.464  1.853E-01  1.853E-01  1.910E-04
                                          4      1.931  1.268E-01  1.268E-01  3.440E-04
 26   3.434000   2.5  1  1.000E-15  2 u                     5/2  0                                                                                                                                                                                                                              0.000000       
                                          3      2.520  6.990E-01  6.997E-01  9.920E-04
                                          1      3.434  2.999E-01  3.003E-01  1.453E-03
 27   3.437000   3.5  1  1.000E-15  0 c             (7/2+,9/2+)  0                                                                                                                                                                                                                              0.000000       
 28   3.438000   0.5  1  1.000E-15  1 u                   (1/2)  0                                                                                                                                                                                                                              0.000000       
                                          1      3.438  9.985E-01  1.000E+00  1.455E-03
 29   3.447780   6.5 -1  1.000E-15  2 u                 (13/2)-  0                                                                                                                                                                                                                              0.000000  1    
                                         12      0.860  1.489E-01  1.489E-01  3.460E-04
                                         11      1.057  8.508E-01  8.511E-01  2.410E-04
 30   3.550600   2.5 -1  1.000E-14  2 u                    5/2-  0                                                                                                                                                                                                                              0.000000       
                                          3      2.637  6.497E-01  6.501E-01  6.100E-04
                                          1      3.551  3.495E-01  3.499E-01  9.800E-04
 31   3.573900   2.5 -1  1.000E-15  2 c                 5/2,7/2  0                                                                                                                                                                                                                              0.000000       
                                          4      2.175  3.000E-01  3.002E-01  4.200E-04
                                          3      2.660  6.994E-01  6.998E-01  6.200E-04
 32   3.578100   1.5 -1  1.000E-15  3 c       3/2(-),5/2,7/2(-)  0                                                                                                                                                                                                                              0.000000       
                                          5      1.713  3.297E-01  3.298E-01  2.610E-04
                                          3      2.664  3.297E-01  3.299E-01  6.300E-04
                                          1      3.578  3.399E-01  3.403E-01  9.900E-04
 33   3.580310   2.5  1  1.700E-12  7 u                    5/2+  0                                                                                                                                                                                                                              0.000000       
                                         19      0.536  3.059E-02  3.064E-02  1.520E-03
                                          7      1.314  2.311E-01  2.312E-01  1.538E-04
                                          6      1.592  9.857E-02  9.859E-02  1.920E-04
                                          5      1.715  1.088E-01  1.088E-01  4.680E-04
                                          4      2.182  1.394E-01  1.395E-01  7.570E-04
                                          3      2.666  3.399E-01  3.403E-01  1.071E-03
                                          1      3.580  5.098E-02  5.106E-02  1.510E-03
 34   3.615000   1.5 -1  2.400E-14  2 u                    3/2-  0                                                                                                                                                                                                                              0.000000       
                                          2      3.124  6.496E-01  6.502E-01  8.100E-04
                                          1      3.615  3.495E-01  3.498E-01  1.000E-03
 35   3.654000   1.5 -1  1.000E-15  0 c               1/2-,3/2-  0                                                                                                                                                                                                                              0.000000       
 36   3.699000   3.5 -1  1.000E-15  1 u                    7/2-  0                                                                                                                                                                                                                              0.000000       
                                          3      2.785  9.993E-01  1.000E+00  6.800E-04
 37   3.728900   2.5  1  1.000E-15  3 c                 3/2,5/2  0                                                                                                                                                                                                                              0.000000       
                                          9      1.405  4.283E-01  4.284E-01  1.680E-04
                                          6      1.741  3.332E-01  3.333E-01  2.490E-04
                                          4      2.330  2.381E-01  2.383E-01  8.780E-04
 38   3.741800   1.5 -1  1.000E-15  4 u                    3/2-  0                                                                                                                                                                                                                              0.000000       
                                          6      1.754  9.953E-02  9.956E-02  2.860E-04
                                          3      2.828  3.902E-01  3.904E-01  6.500E-04
                                          2      3.250  3.981E-01  3.985E-01  8.470E-04
                                          1      3.741  1.115E-01  1.116E-01  1.000E-03
 39   3.757700   3.5  1  1.000E-15  2 c       5/2(+),7/2,9/2(-)  0                                                                                                                                                                                                                              0.000000       
                                          4      2.357  3.997E-01  4.001E-01  8.950E-04
                                          3      2.842  5.992E-01  5.999E-01  1.168E-03
 40   3.885500   1.5 -1  1.000E-15  3                      3/2-  0                                                                                                                                                                                                                              0.000000       
                                          6      1.896  1.300E-01  1.301E-01  5.950E-04
                                          2      3.393  2.697E-01  2.699E-01  9.200E-04
                                          1      3.884  5.993E-01  5.999E-01  1.050E-03
 41   3.905200   1.5 -1  1.000E-15  4                      3/2-  0                                                                                                                                                                                                                              0.000000       
                                          6      1.916  1.098E-01  1.099E-01  6.090E-04
                                          3      2.992  1.702E-01  1.703E-01  7.600E-04
                                          2      3.413  1.702E-01  1.703E-01  9.300E-04
                                          1      3.906  5.489E-01  5.495E-01  1.058E-03
 42   3.930000   2.5  1  1.000E-15  2                      5/2+  0                                                                                                                                                                                                                              0.000000       
                                          4      2.531  7.494E-01  7.501E-01  9.980E-04
                                          3      3.016  2.495E-01  2.499E-01  1.252E-03
 43   4.000000   0.5 -1  1.000E-15  3                    (1/2)-  0                                                                                                                                                                                                                              0.000000       
                                          9      1.676  4.402E-01  4.404E-01  4.400E-04
                                          2      3.509  4.094E-01  4.098E-01  9.110E-04
                                          1      4.000  1.497E-01  1.498E-01  1.140E-03
 44   4.051000  -1.0  0  1.000E-15  4                 1/2-,3/2-  0                                                                                                                                                                                                                              0.000000       
                                         18      1.026  8.939E-02  8.939E-02  0.000E+00
                                          9      1.727  1.006E-01  1.006E-01  0.000E+00
                                          2      3.560  2.514E-01  2.514E-01  0.000E+00
                                          1      4.051  5.587E-01  5.587E-01  0.000E+00
 45   4.072000  -1.0  0  1.000E-15  2          3/2(-) TO 7/2(-)  0                                                                                                                                                                                                                              0.000000       
                                          6      2.084  7.502E-01  7.502E-01  0.000E+00
                                          3      3.158  2.498E-01  2.498E-01  0.000E+00
 46   4.100260   6.5 -1  1.000E-15  3                   (13/2-)  0                                                                                                                                                                                                                              0.000000  3    
                                         29      0.652  7.782E-02  7.787E-02  6.800E-04
                                         25      0.771  5.986E-01  5.988E-01  3.830E-04
                                         13      1.435  3.232E-01  3.233E-01  1.860E-04
 47   4.108000   1.5 -1  1.000E-15  3                      3/2-  0                                                                                                                                                                                                                              0.000000       
                                          3      3.194  7.086E-01  7.092E-01  8.400E-04
                                          2      3.617  2.409E-01  2.412E-01  1.000E-03
                                          1      4.108  4.960E-02  4.966E-02  1.170E-03
 48   4.154000  -1.0  0  1.000E-15  0                            0                                                                                                                                                                                                                              0.000000       
 49   4.183000  -1.0  0  1.000E-15  2                5/2,9/2(-)  0                                                                                                                                                                                                                              0.000000       
                                         14      1.474  5.999E-01  5.999E-01  0.000E+00
                                          4      2.784  4.001E-01  4.001E-01  0.000E+00
 50   4.207000  -1.0  0  1.000E-15  4                5/2,7/2(-)  0                                                                                                                                                                                                                              0.000000       
                                          9      1.883  2.598E-01  2.598E-01  0.000E+00
                                          4      2.808  2.207E-01  2.207E-01  0.000E+00
                                          3      3.293  2.793E-01  2.793E-01  0.000E+00
                                          1      4.207  2.402E-01  2.402E-01  0.000E+00
 51   4.213000  -1.0  0  1.000E-15  0                 7/2+,9/2+  0                                                                                                                                                                                                                              0.000000       
 52   4.258000  -1.0  0  1.000E-15  0                            0                                                                                                                                                                                                                              0.000000       
 53   4.267000  -1.0  0  1.000E-15  0                 1/2-,3/2-  0                                                                                                                                                                                                                              0.000000       
 54   4.295200  -1.0  0  1.000E-15  1                            0                                                                                                                                                                                                                              0.000000       
                                          1      4.295  1.000E+00  1.000E+00  0.000E+00
