Energy	E1_1 M1_1	E1_1 M1_2	E1_1 M1_3	E1_2 M1_1	E1_2 M1_2	E1_2 M1_3	E1_3 M1_1	E1_3 M1_2	E1_3 M1_3	E1_4 M1_1	E1_4 M1_2	E1_4 M1_3	E1_5 M1_1	E1_5 M1_2	E1_5 M1_3	E1_6 M1_1	E1_6 M1_2	E1_6 M1_3	E1_7 M1_1	E1_7 M1_2	E1_7 M1_3	E1_8 M1_1	E1_8 M1_2	E1_8 M1_3	E1_9 M1_1	E1_9 M1_2	E1_9 M1_3
2.0	4.2107e-12	3.194167e-12	9.91577309e-09	4.2107e-12	3.194167e-12	9.91577309e-09	1.13761e-12	1.21077e-13	9.9127e-09	1.13761e-12	1.21077e-13	9.9127e-09	2.7835876100000002e-09	2.782571077e-09	1.269515e-08	1.13761e-12	1.21077e-13	9.9127e-09	1.13761e-12	1.21077e-13	9.9127e-09	1.0356876099999999e-09	1.034671077e-09	1.0947249999999999e-08	1.13761e-12	1.21077e-13	9.9127e-09
5.0	1.052676e-11	7.985422e-12	9.89765273e-09	1.052676e-11	7.985422e-12	9.89765273e-09	2.84403e-12	3.02692e-13	9.88997e-09	2.84403e-12	3.02692e-13	9.88997e-09	2.78439403e-09	2.7818526920000004e-09	1.267152e-08	2.84403e-12	3.02692e-13	9.88997e-09	2.84403e-12	3.02692e-13	9.88997e-09	1.0369640299999999e-09	1.034422692e-09	1.092409e-08	2.84403e-12	3.02692e-13	9.88997e-09
10.0	2.105357e-11	1.5970885e-11	9.8675655e-09	2.105357e-11	1.5970885e-11	9.8675655e-09	5.68807e-12	6.05385e-13	9.8522e-09	5.68807e-12	6.05385e-13	9.8522e-09	2.78575807e-09	2.780675385e-09	1.263227e-08	5.68807e-12	6.05385e-13	9.8522e-09	5.68807e-12	6.05385e-13	9.8522e-09	1.03908807e-09	1.034005385e-09	1.08856e-08	5.68807e-12	6.05385e-13	9.8522e-09
20.0	4.21072e-11	3.194178e-11	9.807871000000001e-09	4.21072e-11	3.194178e-11	9.807871000000001e-09	1.13762e-11	1.21078e-12	9.77714e-09	1.13762e-11	1.21078e-12	9.77714e-09	2.7884762e-09	2.77831078e-09	1.255424e-08	1.13762e-11	1.21078e-12	9.77714e-09	1.13762e-11	1.21078e-12	9.77714e-09	1.0433262e-09	1.03316078e-09	1.080909e-08	1.13762e-11	1.21078e-12	9.77714e-09
50.0	1.052701e-10	7.985565e-11	9.6325186e-09	1.052701e-10	7.985565e-11	9.6325186e-09	2.84415e-11	3.02705e-12	9.55569e-09	2.84415e-11	3.02705e-12	9.55569e-09	2.7967615e-09	2.77134705e-09	1.232401e-08	2.84415e-11	3.02705e-12	9.55569e-09	2.84415e-11	3.02705e-12	9.55569e-09	1.0560215000000001e-09	1.0306070500000001e-09	1.058327e-08	2.84415e-11	3.02705e-12	9.55569e-09
100.0	2.105555e-10	1.5971989000000002e-10	9.352445e-09	2.105555e-10	1.5971989000000002e-10	9.352445e-09	5.68905e-11	6.05489e-12	9.19878e-09	5.68905e-11	6.05489e-12	9.19878e-09	2.8108904999999997e-09	2.76005489e-09	1.1952779999999999e-08	5.68905e-11	6.05489e-12	9.19878e-09	5.68905e-11	6.05489e-12	9.19878e-09	1.0771204999999998e-09	1.02628489e-09	1.021901e-08	5.68905e-11	6.05489e-12	9.19878e-09
200.0	4.21231e-10	3.195071e-10	8.835901e-09	4.21231e-10	3.195071e-10	8.835901e-09	1.1883167e-10	1.7107769999999998e-11	8.533501670000001e-09	4.27569e-10	3.258451e-10	8.842239e-09	2.84044e-09	2.7387161000000002e-09	1.1255110000000001e-08	4.20865e-09	4.1069261000000004e-09	1.2623320000000001e-08	1.7240100000000001e-09	1.6222861e-09	1.0138680000000001e-08	1.1312700000000002e-09	1.0295461e-09	9.54594e-09	3.54068e-10	2.523441e-10	8.768738000000001e-09
300.0	6.32151e-10	4.79431e-10	8.374011000000001e-09	6.32151e-10	4.79431e-10	8.374011000000001e-09	1.821425e-10	2.94225e-11	7.924002500000001e-09	5.088380000000001e-10	3.5611800000000004e-10	8.250698e-09	2.8717300000000004e-09	2.71901e-09	1.061359e-08	3.16503e-09	3.01231e-09	1.0906890000000001e-08	1.56118e-09	1.40846e-09	9.30304e-09	1.18719e-09	1.0344699999999998e-09	8.929050000000001e-09	4.3902799999999996e-10	2.86308e-10	8.180888000000001e-09
400.0	8.434340000000001e-10	6.39559e-10	7.962815999999999e-09	8.434340000000001e-10	6.39559e-10	7.962815999999999e-09	2.48151e-10	4.4276e-11	7.367532999999999e-09	5.92107e-10	3.8823200000000003e-10	7.711488999999999e-09	2.904818e-09	2.700943e-09	1.00242e-08	2.689788e-09	2.485913e-09	9.80917e-09	1.7072279999999999e-09	1.503353e-09	8.82661e-09	1.248048e-09	1.044173e-09	8.36743e-09	5.25863e-10	3.2198800000000003e-10	7.645245e-09
500.0	1.055202e-09	7.999583999999999e-10	7.598747e-09	1.055202e-09	7.999583999999999e-10	7.598747e-09	3.169051e-10	6.16615e-11	6.8604500999999994e-09	6.77437e-10	4.221934e-10	7.220982e-09	2.939755e-09	2.6845114e-09	9.4833e-09	2.4428849999999997e-09	2.1876413999999997e-09	8.98643e-09	1.836615e-09	1.5813714000000001e-09	8.38016e-09	1.313975e-09	1.0587314e-09	7.857519999999999e-09	6.1621e-10	3.609664e-10	7.159755e-09
