Energy	E1_1 M1_1	E1_1 M1_2	E1_1 M1_3	E1_2 M1_1	E1_2 M1_2	E1_2 M1_3	E1_3 M1_1	E1_3 M1_2	E1_3 M1_3	E1_4 M1_1	E1_4 M1_2	E1_4 M1_3	E1_5 M1_1	E1_5 M1_2	E1_5 M1_3	E1_6 M1_1	E1_6 M1_2	E1_6 M1_3	E1_7 M1_1	E1_7 M1_2	E1_7 M1_3	E1_8 M1_1	E1_8 M1_2	E1_8 M1_3	E1_9 M1_1	E1_9 M1_2	E1_9 M1_3
2.0	2.44503463e-09	2.44413472e-09	1.296949e-08	8.3672e-12	7.46729e-12	1.053282257e-08	1.14463e-12	2.4472e-13	1.05256e-08	1.14463e-12	2.4472e-13	1.05256e-08	7.62208463e-09	7.62118472e-09	1.814654e-08	1.14463e-12	2.4472e-13	1.05256e-08	1.14463e-12	2.4472e-13	1.05256e-08	1.11632463e-09	1.11542472e-09	1.1640779999999999e-08	1.14463e-12	2.4472e-13	1.05256e-08
5.0	2.44507157e-09	2.4428218e-09	1.2943510000000001e-08	2.0917969999999998e-11	1.86682e-11	1.0519356400000001e-08	2.86157e-12	6.118e-13	1.05013e-08	2.86157e-12	6.118e-13	1.05013e-08	7.62154157e-09	7.6192918e-09	1.811998e-08	2.86157e-12	6.118e-13	1.05013e-08	2.86157e-12	6.118e-13	1.05013e-08	1.11759157e-09	1.1153418e-09	1.1616030000000001e-08	2.86157e-12	6.118e-13	1.05013e-08
10.0	2.44513315e-09	2.4406336e-09	1.290041e-08	4.183605e-11	3.73365e-11	1.0497112900000001e-08	5.72315e-12	1.2236e-12	1.0461e-08	5.72315e-12	1.2236e-12	1.0461e-08	7.62063315e-09	7.6161336e-09	1.807591e-08	5.72315e-12	1.2236e-12	1.0461e-08	5.72315e-12	1.2236e-12	1.0461e-08	1.11971315e-09	1.1152136e-09	1.157499e-08	5.72315e-12	1.2236e-12	1.0461e-08
20.0	2.4452564e-09	2.43625722e-09	1.281471e-08	8.36723e-11	7.467312e-11	1.04531259e-08	1.14464e-11	2.44722e-12	1.03809e-08	1.14464e-11	2.44722e-12	1.03809e-08	7.618856399999999e-09	7.60985722e-09	1.798831e-08	1.14464e-11	2.44722e-12	1.03809e-08	1.14464e-11	2.44722e-12	1.03809e-08	1.1239564e-09	1.1149572199999999e-09	1.149341e-08	1.14464e-11	2.44722e-12	1.03809e-08
50.0	2.4455569000000002e-09	2.4230582600000002e-09	1.256134e-08	2.091839e-10	1.8668526e-10	1.0324967e-08	2.86169e-11	6.11826e-12	1.01444e-08	2.86169e-11	6.11826e-12	1.01444e-08	7.6137469e-09	7.59124826e-09	1.772953e-08	2.86169e-11	6.11826e-12	1.01444e-08	2.86169e-11	6.11826e-12	1.01444e-08	1.1366369000000002e-09	1.1141382600000001e-09	1.125242e-08	2.86169e-11	6.11826e-12	1.01444e-08
100.0	2.4458312e-09	2.4008281e-09	1.215189e-08	4.183902e-10	3.733871e-10	1.0124449000000001e-08	5.72412e-11	1.22381e-11	9.7633e-09	5.72412e-11	1.22381e-11	9.7633e-09	7.6059712e-09	7.5609681e-09	1.731203e-08	5.72412e-11	1.22381e-11	9.7633e-09	5.72412e-11	1.22381e-11	9.7633e-09	1.1577012e-09	1.1126981e-09	1.086376e-08	5.72412e-11	1.22381e-11	9.7633e-09
200.0	2.4456109999999997e-09	2.3555587e-09	1.137834e-08	8.36959e-10	7.469066999999999e-10	9.769688e-09	1.1921094e-10	2.915864e-11	9.05193994e-09	4.01988e-10	3.119357e-10	9.334717e-09	7.593211e-09	7.503158699999999e-09	1.652594e-08	3.1582609999999997e-09	3.0682087e-09	1.2090989999999999e-08	1.141391e-09	1.0513387e-09	1.007412e-08	1.212041e-09	1.1219887e-09	1.014477e-08	2.6389799999999997e-10	1.738457e-10	9.196627e-09
300.0	2.444488e-09	2.3092944999999998e-09	1.0661610000000001e-08	1.255888e-09	1.1206945e-09	9.473010000000001e-09	1.824705e-10	4.7277e-11	8.3995925e-09	4.8161e-10	3.4641649999999995e-10	8.698732000000001e-09	7.584218e-09	7.4490245e-09	1.580134e-08	2.4027580000000003e-09	2.2675645e-09	1.061988e-08	1.00451e-09	8.693165e-10	9.221632e-09	1.269148e-09	1.1339545e-09	9.48627e-09	3.4045e-10	2.052565e-10	8.557572e-09
400.0	2.442572e-09	2.262098e-09	9.99748e-09	1.6753519999999998e-09	1.4948779999999999e-09	9.230259999999999e-09	2.482526e-10	6.77786e-11	7.8031606e-09	5.63057e-10	3.8258299999999996e-10	8.117964999999999e-09	7.579022e-09	7.3985480000000005e-09	1.513393e-08	2.066972e-09	1.8864980000000002e-09	9.62188e-09	9.89873e-10	8.09399e-10	8.544781e-09	1.332212e-09	1.151738e-09	8.88712e-09	4.2029e-10	2.3981599999999997e-10	7.975198e-09
500.0	2.440013e-09	2.214072e-09	9.38213e-09	2.095543e-09	1.869602e-09	9.03766e-09	3.1662210000000004e-10	9.06811e-11	7.2587391e-09	6.463019999999999e-10	4.20361e-10	7.588419000000001e-09	7.577663e-09	7.351722e-09	1.451978e-08	1.900383e-09	1.6744419999999999e-09	8.8425e-09	1.0386910000000002e-09	8.1275e-10	7.980808e-09	1.401243e-09	1.1753019999999999e-09	8.34336e-09	5.013440000000001e-10	2.7540300000000003e-10	7.4434610000000006e-09
600.0	2.436929e-09	2.1652893e-09	8.81204e-09	2.516629e-09	2.2449893e-09	8.89174e-09	3.876546e-10	1.1601489999999999e-10	6.7627656e-09	7.315769999999999e-10	4.599373e-10	7.106688e-09	7.580179e-09	7.3085393e-09	1.395529e-08	1.817659e-09	1.5460193e-09	8.19277e-09	1.111886e-09	8.402462999999999e-10	7.486997e-09	1.476269e-09	1.2046293e-09	7.85138e-09	5.84805e-10	3.131653e-10	6.959916e-09
700.0	2.4334419999999996e-09	2.115823e-09	8.284e-09	2.9388019999999996e-09	2.621183e-09	8.789359999999999e-09	4.6142949999999997e-10	1.438105e-10	6.3119875e-09	8.18857e-10	5.01238e-10	6.669415e-09	7.586622e-09	7.269003e-09	1.3437180000000001e-08	1.781832e-09	1.464213e-09	7.63239e-09	1.1890460000000001e-09	8.71427e-10	7.039604e-09	1.557422e-09	1.239803e-09	7.40798e-09	6.703610000000001e-10	3.5274200000000003e-10	6.520919e-09
800.0	2.4296939999999997e-09	2.0657662e-09	7.7951e-09	3.3622439999999998e-09	2.9983162e-09	8.72765e-09	5.380085e-10	1.740807e-10	5.9034145e-09	9.0829e-10	5.443622e-10	6.2736959999999995e-09	7.597044000000001e-09	7.2331162e-09	1.296245e-08	1.776254e-09	1.4123261999999998e-09	7.1416599999999995e-09	1.271169e-09	9.072412e-10	6.6365749999999995e-09	1.644574e-09	1.2806462e-09	7.00998e-09	7.58549e-10	3.946212e-10	6.123955e-09
900.0	2.4258179999999996e-09	2.0152019999999996e-09	7.34269e-09	3.7871379999999996e-09	3.3765219999999996e-09	8.70401e-09	6.175156e-10	2.068996e-10	5.5343876e-09	9.9994e-10	5.89324e-10	5.916812e-09	7.611478e-09	7.200862e-09	1.252835e-08	1.794018e-09	1.383402e-09	6.710889999999999e-09	1.358566e-09	9.4795e-10	6.275438e-09	1.738018e-09	1.327402e-09	6.6548899999999995e-09	8.50615e-10	4.39999e-10	5.767486999999999e-09
1000.0	2.421927e-09	1.964195e-09	6.92438e-09	4.213677e-09	3.755945e-09	8.71613e-09	6.99909e-10	2.42177e-10	5.202362e-09	1.09387e-09	6.36138e-10	5.596323e-09	7.630007e-09	7.172275e-09	1.213246e-08	1.826987e-09	1.369255e-09	6.32944e-09	1.449551e-09	9.918189999999999e-10	5.952004e-09	1.8376269999999999e-09	1.379895e-09	6.34008e-09	9.457509999999999e-10	4.88019e-10	5.448204e-09
1100.0	2.418167e-09	1.912838e-09	6.53805e-09	4.6420469999999996e-09	4.1367179999999995e-09	8.76193e-09	7.854299999999999e-10	2.80101e-10	4.905313e-09	1.190146e-09	6.84817e-10	5.310028999999999e-09	7.652666999999999e-09	7.147338e-09	1.177255e-08	1.8727069999999997e-09	1.367378e-09	5.9925899999999995e-09	1.54257e-09	1.037241e-09	5.662453e-09	1.943717e-09	1.4383879999999998e-09	6.0636e-09	1.043781e-09	5.38452e-10	5.1636639999999996e-09
1200.0	2.414664e-09	1.8612070000000001e-09	6.18182e-09	5.072444e-09	4.518987e-09	8.8396e-09	8.74142e-10	3.20685e-10	4.641298e-09	1.28892e-09	7.35463e-10	5.056076e-09	7.679534e-09	7.126077e-09	1.144669e-08	1.927294e-09	1.373837e-09	5.69445e-09	1.637711e-09	1.084254e-09	5.404867e-09	2.056144e-09	1.502687e-09	5.8233e-09	1.1463759999999999e-09	5.929189999999999e-10	4.913532e-09
1300.0	2.411568e-09	1.809394e-09	5.85407e-09	5.505058000000001e-09	4.902884e-09	8.94756e-09	9.66117e-10	3.63943e-10	4.408619e-09	1.390263e-09	7.88089e-10	4.8327650000000005e-09	7.710678e-09	7.108504e-09	1.115318e-08	1.989908e-09	1.387734e-09	5.43241e-09	1.73359e-09	1.131416e-09	5.176092e-09	2.175148e-09	1.572974e-09	5.61765e-09	1.252334e-09	6.501600000000001e-10	4.694836e-09
1400.0	2.409007e-09	1.757476e-09	5.55339e-09	5.940097e-09	5.288566e-09	9.08448e-09	1.061423e-09	4.09892e-10	4.205806e-09	1.494329e-09	8.42798e-10	4.638712e-09	7.746157e-09	7.094626000000001e-09	1.089054e-08	2.0584269999999998e-09	1.406896e-09	5.20281e-09	1.830617e-09	1.1790859999999999e-09	4.975e-09	2.3008869999999998e-09	1.649356e-09	5.44527e-09	1.361726e-09	7.101949999999999e-10	4.506109e-09
1500.0	2.4071160000000002e-09	1.705529e-09	5.27865e-09	6.377756e-09	5.676169e-09	9.24929e-09	1.160221e-09	4.5863400000000003e-10	4.031755e-09	1.601194e-09	8.99607e-10	4.472728e-09	7.786066e-09	7.084479e-09	1.06576e-08	2.133366e-09	1.431779e-09	5.0049e-09	1.928166e-09	1.226579e-09	4.7997e-09	2.433516e-09	1.731929e-09	5.3050499999999996e-09	1.475044e-09	7.73457e-10	4.346578e-09
1600.0	2.406038e-09	1.653637e-09	5.02898e-09	6.818238e-09	6.065837e-09	9.44118e-09	1.262584e-09	5.10183e-10	3.8855259999999995e-09	1.7111019999999998e-09	9.58701e-10	4.334044e-09	7.830468e-09	7.078067e-09	1.045341e-08	2.212308e-09	1.459907e-09	4.83525e-09	2.026348e-09	1.273947e-09	4.64929e-09	2.5732080000000002e-09	1.8208070000000001e-09	5.19615e-09	1.592917e-09	8.405160000000001e-10	4.215859e-09
