Energy	E1_1 M1_1	E1_1 M1_2	E1_1 M1_3	E1_2 M1_1	E1_2 M1_2	E1_2 M1_3	E1_3 M1_1	E1_3 M1_2	E1_3 M1_3	E1_4 M1_1	E1_4 M1_2	E1_4 M1_3	E1_5 M1_1	E1_5 M1_2	E1_5 M1_3	E1_6 M1_1	E1_6 M1_2	E1_6 M1_3	E1_7 M1_1	E1_7 M1_2	E1_7 M1_3	E1_8 M1_1	E1_8 M1_2	E1_8 M1_3	E1_9 M1_1	E1_9 M1_2	E1_9 M1_3
2.0	1.55689165e-09	1.5559803290000001e-09	1.2732140000000001e-08	8.03677e-12	7.1254489999999995e-12	1.1183285120000001e-08	1.15165e-12	2.40329e-13	1.11764e-08	1.15165e-12	2.40329e-13	1.11764e-08	9.39448165e-09	9.393570329e-09	2.0569729999999998e-08	1.15165e-12	2.40329e-13	1.11764e-08	1.15165e-12	2.40329e-13	1.11764e-08	1.21651165e-09	1.215600329e-09	1.239176e-08	1.15165e-12	2.40329e-13	1.11764e-08
5.0	1.5564591299999999e-09	1.5541808229999999e-09	1.270408e-08	2.0091929999999998e-11	1.7813623e-11	1.1167712799999999e-08	2.87913e-12	6.00823e-13	1.11505e-08	2.87913e-12	6.00823e-13	1.11505e-08	9.393659130000001e-09	9.391380823e-09	2.0541280000000002e-08	2.87913e-12	6.00823e-13	1.11505e-08	2.87913e-12	6.00823e-13	1.11505e-08	1.21777913e-09	1.215500823e-09	1.23654e-08	2.87913e-12	6.00823e-13	1.11505e-08
10.0	1.55574828e-09	1.55119165e-09	1.265749e-08	4.018388e-11	3.562725e-11	1.1141925600000001e-08	5.75828e-12	1.20165e-12	1.11075e-08	5.75828e-12	1.20165e-12	1.11075e-08	9.39230828e-09	9.38775165e-09	2.049405e-08	5.75828e-12	1.20165e-12	1.11075e-08	5.75828e-12	1.20165e-12	1.11075e-08	1.2198982799999999e-09	1.21534165e-09	1.232164e-08	5.75828e-12	1.20165e-12	1.11075e-08
20.0	1.5542965999999998e-09	1.5451833099999999e-09	1.256478e-08	8.03679e-11	7.125461e-11	1.1090851299999999e-08	1.15166e-11	2.40331e-12	1.1022e-08	1.15166e-11	2.40331e-12	1.1022e-08	9.3896266e-09	9.38051331e-09	2.040011e-08	1.15166e-11	2.40331e-12	1.1022e-08	1.15166e-11	2.40331e-12	1.1022e-08	1.2241165999999999e-09	1.21500331e-09	1.22346e-08	1.15166e-11	2.40331e-12	1.1022e-08
50.0	1.5498925e-09	1.52710848e-09	1.22908e-08	2.009225e-10	1.7813848e-10	1.094183e-08	2.87925e-11	6.00848e-12	1.07697e-08	2.87925e-11	6.00848e-12	1.07697e-08	9.3818225e-09	9.35903848e-09	2.012273e-08	2.87925e-11	6.00848e-12	1.07697e-08	2.87925e-11	6.00848e-12	1.07697e-08	1.2367625e-09	1.2139784799999998e-09	1.197767e-08	2.87925e-11	6.00848e-12	1.07697e-08
100.0	1.5422923e-09	1.4967185000000001e-09	1.18476e-08	4.018673e-10	3.562935e-10	1.0707174999999999e-08	5.75923e-11	1.20185e-11	1.03629e-08	5.75923e-11	1.20185e-11	1.03629e-08	9.3695723e-09	9.323998499999999e-09	1.9674879999999997e-08	5.75923e-11	1.20185e-11	1.03629e-08	5.75923e-11	1.20185e-11	1.03629e-08	1.2577522999999998e-09	1.2121785e-09	1.156306e-08	5.75923e-11	1.20185e-11	1.03629e-08
200.0	1.526242e-09	1.435049e-09	1.100954e-08	8.03904e-10	7.12711e-10	1.0287202e-08	1.1953978e-10	2.834678e-11	9.60283778e-09	3.80311e-10	2.89118e-10	9.863609e-09	9.347902e-09	9.256709e-09	1.88312e-08	1.950132e-09	1.858939e-09	1.1433429999999999e-08	5.84017e-10	4.92824e-10	1.0067315e-08	1.3145119999999999e-09	1.223319e-09	1.0797809999999999e-08	1.940832e-10	1.028902e-10	9.677381199999999e-09
300.0	1.509128e-09	1.3722237e-09	1.023161e-08	1.206288e-09	1.0693837e-09	9.92877e-09	1.8267923999999998e-10	4.577494e-11	8.90516124e-09	4.58547e-10	3.216427e-10	9.181029e-09	9.330038e-09	9.1931337e-09	1.8052520000000002e-08	1.521068e-09	1.3841637e-09	1.0243550000000001e-08	5.17416e-10	3.805117e-10	9.239898000000001e-09	1.371858e-09	1.2349537000000001e-09	1.009434e-08	2.649933e-10	1.28089e-10	8.9874753e-09
400.0	1.4910879999999998e-09	1.3083348e-09	9.50939e-09	1.6091779999999998e-09	1.4264248e-09	9.62748e-09	2.481567e-10	6.54035e-11	8.2664587e-09	5.38431e-10	3.556778e-10	8.556733e-09	9.316018000000001e-09	9.133264800000001e-09	1.733432e-08	1.3451580000000001e-09	1.1624048000000001e-09	9.36346e-09	5.205859999999999e-10	3.3783279999999997e-10	8.538888e-09	1.4338180000000001e-09	1.2510648e-09	9.45212e-09	3.37422e-10	1.546688e-10	8.355724e-09
500.0	1.4722310000000001e-09	1.2434443000000001e-09	8.83877e-09	2.012761e-09	1.7839743000000001e-09	9.3793e-09	3.160269e-10	8.72402e-11	7.6825659e-09	6.20111e-10	3.913243e-10	7.98665e-09	9.305871000000001e-09	9.0770843e-09	1.667241e-08	1.2700920000000001e-09	1.0413053000000002e-09	8.636631e-09	5.33516e-10	3.0472930000000003e-10	7.900055e-09	1.500641e-09	1.2718543e-09	8.86718e-09	4.1185e-10	1.830633e-10	7.778389e-09
