Energy	E1_1 M1_1	E1_1 M1_2	E1_1 M1_3	E1_2 M1_1	E1_2 M1_2	E1_2 M1_3	E1_3 M1_1	E1_3 M1_2	E1_3 M1_3	E1_4 M1_1	E1_4 M1_2	E1_4 M1_3	E1_5 M1_1	E1_5 M1_2	E1_5 M1_3	E1_6 M1_1	E1_6 M1_2	E1_6 M1_3	E1_7 M1_1	E1_7 M1_2	E1_7 M1_3	E1_8 M1_1	E1_8 M1_2	E1_8 M1_3	E1_9 M1_1	E1_9 M1_2	E1_9 M1_3
800.0	4.376175e-09	4.0144279e-09	9.74926e-09	3.4273050000000003e-09	3.0655579e-09	8.800390000000001e-09	5.436825e-10	1.819354e-10	5.9167675000000005e-09	9.29473e-10	5.677259e-10	6.302558e-09	6.447335e-09	6.0855879e-09	1.1820420000000001e-08	2.7113350000000003e-09	2.3495879e-09	8.08442e-09	1.946465e-09	1.5847179e-09	7.319550000000001e-09	1.377372e-09	1.0156249e-09	6.750457e-09	9.970310000000001e-10	6.352839e-10	6.370116000000001e-09
900.0	4.389098e-09	3.9809310000000005e-09	9.314720000000001e-09	3.860438e-09	3.452271e-09	8.78606e-09	6.249189999999999e-10	2.16752e-10	5.5505410000000005e-09	1.02261e-09	6.144429999999999e-10	5.948232e-09	6.463468e-09	6.055301e-09	1.138909e-08	2.689418e-09	2.281251e-09	7.61504e-09	2.016718e-09	1.608551e-09	6.94234e-09	1.4701870000000001e-09	1.06202e-09	6.395809e-09	1.100815e-09	6.926480000000001e-10	6.026437e-09
1000.0	4.402121e-09	3.947104e-09	8.914430000000001e-09	4.295261e-09	3.840244e-09	8.80757e-09	7.09326e-10	2.54309e-10	5.221635e-09	1.118119e-09	6.631019999999999e-10	5.630428e-09	6.4836209999999995e-09	6.028603999999999e-09	1.0995929999999999e-08	2.6923109999999997e-09	2.237294e-09	7.20462e-09	2.092071e-09	1.637054e-09	6.60438e-09	1.569038e-09	1.1140210000000002e-09	6.081347e-09	1.206017e-09	7.51e-10	5.718326e-09
1100.0	4.415368e-09	3.9130189999999995e-09	8.54627e-09	4.7319480000000006e-09	4.229599e-09	8.86285e-09	7.97035e-10	2.94686e-10	4.927937e-09	1.21615e-09	7.13801e-10	5.347052e-09	6.507868e-09	6.005519e-09	1.063877e-08	2.7143379999999997e-09	2.211989e-09	6.84524e-09	2.172258e-09	1.6699090000000002e-09	6.30316e-09	1.674158e-09	1.171809e-09	5.805060000000001e-09	1.315917e-09	8.13568e-10	5.446819e-09
1200.0	4.428999e-09	3.8787819999999995e-09	8.2084e-09	5.170719e-09	4.620502e-09	8.95012e-09	8.882039999999999e-10	3.3798699999999996e-10	4.667605e-09	1.316773e-09	7.665560000000001e-10	5.096174e-09	6.536279e-09	5.986062e-09	1.031568e-08	2.752549e-09	2.202332e-09	6.53195e-09	2.2580189999999997e-09	1.7078019999999998e-09	6.03742e-09	1.785599e-09	1.235382e-09	5.5650000000000005e-09	1.4288280000000001e-09	8.78611e-10	5.2082290000000004e-09
1300.0	4.443151e-09	3.844477e-09	7.899180000000001e-09	5.611761e-09	5.013087e-09	9.067790000000001e-09	9.82813e-10	3.8413899999999997e-10	4.438842e-09	1.420141e-09	8.21467e-10	4.8761700000000005e-09	6.568901e-09	5.970227e-09	1.002493e-08	2.803881e-09	2.205207e-09	6.2599100000000006e-09	2.348051e-09	1.7493769999999999e-09	5.80408e-09	1.903621e-09	1.304947e-09	5.359650000000001e-09	1.5457350000000001e-09	9.470610000000001e-10	5.001764e-09
1400.0	4.4579750000000004e-09	3.810201e-09	7.61726e-09	6.0552749999999994e-09	5.407500999999999e-09	9.214559999999999e-09	1.081106e-09	4.33332e-10	4.240391e-09	1.526241e-09	8.784669999999999e-10	4.685526e-09	6.605835e-09	5.958061e-09	9.76512e-09	2.865865e-09	2.218091e-09	6.02515e-09	2.440905e-09	1.793131e-09	5.60019e-09	2.028205e-09	1.380431e-09	5.18749e-09	1.666126e-09	1.0183520000000001e-09	4.8254110000000005e-09
1500.0	4.473615e-09	3.7760369999999996e-09	7.361530000000001e-09	6.501475e-09	5.803897e-09	9.38939e-09	1.18307e-09	4.85492e-10	4.070985000000001e-09	1.635319e-09	9.37741e-10	4.523234e-09	6.647135e-09	5.949557e-09	9.53505e-09	2.937545e-09	2.239967e-09	5.82546e-09	2.5378550000000002e-09	1.840277e-09	5.42577e-09	2.159595e-09	1.462017e-09	5.04751e-09	1.7915519999999999e-09	1.093974e-09	4.679467e-09
1600.0	4.490216e-09	3.742074e-09	7.1311399999999994e-09	6.950566e-09	6.202424e-09	9.59149e-09	1.2888679999999999e-09	5.40726e-10	3.929792e-09	1.747536e-09	9.99394e-10	4.38846e-09	6.692896e-09	5.944754e-09	9.33382e-09	3.0165559999999997e-09	2.2684139999999996e-09	5.65748e-09	2.638976e-09	1.890834e-09	5.2798999999999995e-09	2.297976e-09	1.549834e-09	4.9389e-09	1.91937e-09	1.171228e-09	4.560294e-09
1700.0	4.50795e-09	3.708418e-09	6.92553e-09	7.4027700000000005e-09	6.603238e-09	9.82035e-09	1.398668e-09	5.99136e-10	3.8162480000000005e-09	1.8628870000000002e-09	1.063355e-09	4.280467e-09	6.74321e-09	5.943678e-09	9.160790000000001e-09	3.10263e-09	2.3030980000000002e-09	5.52021e-09	2.74561e-09	1.9460779999999997e-09	5.16319e-09	2.4434500000000003e-09	1.643918e-09	4.86103e-09	2.05677e-09	1.257238e-09	4.47435e-09
1800.0	4.52697e-09	3.675166e-09	6.74444e-09	7.8583e-09	7.006496e-09	1.007577e-08	1.51263e-09	6.60826e-10	3.7301e-09	1.981878e-09	1.130074e-09	4.199348e-09	6.79816e-09	5.946356e-09	9.01563e-09	3.1956199999999998e-09	2.343816e-09	5.41309e-09	2.86045e-09	2.008646e-09	5.07792e-09	2.59672e-09	1.744916e-09	4.81419e-09	2.19687e-09	1.3450660000000002e-09	4.41434e-09
1900.0	4.54742e-09	3.642396e-09	6.58793e-09	8.31738e-09	7.412356e-09	1.035789e-08	1.6307509999999999e-09	7.25727e-10	3.671261e-09	2.1044239999999997e-09	1.1994e-09	4.144934e-09	6.8578499999999994e-09	5.9528259999999996e-09	8.89836e-09	3.29456e-09	2.389536e-09	5.33507e-09	2.9884999999999998e-09	2.083476e-09	5.02901e-09	2.75695e-09	1.851926e-09	4.79746e-09	2.34075e-09	1.4357260000000001e-09	4.38126e-09
2000.0	4.56948e-09	3.6102170000000003e-09	6.45641e-09	8.78024e-09	7.820977e-09	1.066717e-08	1.7532950000000002e-09	7.94032e-10	3.640225e-09	2.23e-09	1.270737e-09	4.11693e-09	6.92237e-09	5.963107e-09	8.8093e-09	3.39933e-09	2.440067e-09	5.28626e-09	3.13776e-09	2.178497e-09	5.02469e-09	2.92515e-09	1.965887e-09	4.812079999999999e-09	2.48609e-09	1.526827e-09	4.37302e-09
2200.0	4.61912e-09	3.5480219999999997e-09	6.27172e-09	9.71825e-09	8.647152e-09	1.137085e-08	2.012115e-09	9.41017e-10	3.664715e-09	2.49411e-09	1.4230119999999998e-09	4.14671e-09	7.06642e-09	5.995322e-09	8.71902e-09	3.6246400000000004e-09	2.553542e-09	5.27724e-09	3.40129e-09	2.330192e-09	5.05389e-09	3.2860000000000004e-09	2.214902e-09	4.9386e-09	2.79824e-09	1.7271420000000001e-09	4.45084e-09
2400.0	4.67729e-09	3.489398e-09	6.19971e-09	1.067428e-08	9.486388e-09	1.21967e-08	2.290364e-09	1.102472e-09	3.812784e-09	2.7767e-09	1.588808e-09	4.29912e-09	7.23123e-09	6.043338e-09	8.753650000000001e-09	3.872589999999999e-09	2.684698e-09	5.3950099999999996e-09	3.5497e-09	2.361808e-09	5.07212e-09	3.68135e-09	2.493458e-09	5.20377e-09	3.1327e-09	1.9448080000000002e-09	4.65512e-09
