 Parameters used:

First geneneration spectra extracted for
excitation energies between 10284.-   24. keV
corresponding to y-channels   171 -    0
 Number of spectra=  172
 Ax0 =    23.5 Ax1 =    60.0 Ay0 =    23.5 Ay1 =    60.0
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=
 Normalization= 2 Stat/Tot= 2 Areacorr.= 1
 Experimental lower gamma threshold:       50.0 keV (ch=   0)
 Upper threshold for statistical gammas:   50.0 keV (ch=   0)
 Average energy entry point in g.s. band:  300.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = 0.30
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
105  6324.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
104  6264.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
103  6204.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
102  6144.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
101  6084.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
100  6024.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 99  5964.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 98  5904.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 97  5844.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 96  5784.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 95  5724.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 94  5664.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 93  5604.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 92  5544.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 91  5484.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 90  5424.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 89  5364.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 88  5304.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 87  5244.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 86  5184.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 85  5124.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 84  5064.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 83  5004.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 82  4944.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 81  4884.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 80  4824.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 79  4764.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 78  4704.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 77  4644.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 76  4584.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 75  4524.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 74  4464.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 73  4404.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 72  4344.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 71  4284.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 70  4224.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 69  4164.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 68  4104.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 67  4044.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 66  3984.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 65  3924.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 64  3864.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 63  3804.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 62  3744.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 61  3684.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 60  3624.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 59  3564.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 58  3504.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 57  3444.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 56  3384.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 55  3324.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 54  3264.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 53  3204.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 52  3144.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 51  3084.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 50  3024.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 49  2964.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 48  2904.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 47  2844.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 46  2784.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 45  2724.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 44  2664.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 43  2604.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 42  2544.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 41  2484.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 40  2424.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 39  2364.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 38  2304.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
