 Parameters used:

First geneneration spectra extracted for
excitation energies between 12676.-   36. keV
corresponding to y-channels   158 -    0
 Number of spectra=  159
 Ax0 =    36.0 Ax1 =    80.0 Ay0 =    36.0 Ay1 =    80.0
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=
 Normalization= 2 Stat/Tot= 2 Areacorr.= 1
 Experimental lower gamma threshold:      200.0 keV (ch=   2)
 Upper threshold for statistical gammas:  430.0 keV (ch=   5)
 Average energy entry point in g.s. band:  300.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = 0.30
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
158 12676.       98.        0.       98. 1.60       0  0.00  1.00  1.60  1.00  1.56
157 12596.     1219.        0.     1219. 1.50       0  0.00  1.00  1.50  1.00  1.46
156 12516.     2749.        0.     2749. 1.51       0  0.00  1.00  1.51  1.00  1.47
155 12436.     5692.        0.     5692. 1.48       0  0.00  1.00  1.48  1.00  1.43
154 12356.     7042.        0.     7042. 1.52       0  0.00  1.00  1.52  1.00  1.48
153 12276.     7943.        0.     7943. 1.61       0  0.00  1.00  1.61  1.00  1.57
152 12196.     9244.        0.     9244. 1.58       0  0.00  1.00  1.58  1.00  1.53
151 12116.     9405.        0.     9405. 1.65       0  0.00  1.00  1.65  1.00  1.61
150 12036.     8061.        0.     8061. 1.65       0  0.00  1.00  1.65  1.00  1.61
149 11956.     7642.        0.     7642. 1.76       0  0.00  1.00  1.76  1.00  1.71
148 11876.     7088.        0.     7088. 1.80       0  0.00  1.00  1.80  1.00  1.75
147 11796.     7065.        0.     7065. 1.85       0  0.00  1.00  1.85  1.00  1.80
146 11716.     7739.        0.     7739. 1.86       0  0.00  1.00  1.86  1.00  1.81
145 11636.     6794.        0.     6794. 2.00       0  0.00  1.00  2.00  1.00  1.95
144 11556.     6856.        0.     6856. 1.94       0  0.00  1.00  1.94  1.00  1.88
143 11476.     6433.        0.     6433. 1.83       0  0.00  1.00  1.83  1.00  1.77
142 11396.     6584.        0.     6584. 1.86       0  0.00  1.00  1.86  1.00  1.81
141 11316.     5496.        0.     5496. 1.77       0  0.00  1.00  1.77  1.00  1.72
140 11236.     6099.        0.     6099. 1.75       0  0.00  1.00  1.75  1.00  1.70
139 11156.     6487.        0.     6487. 1.77       0  0.00  1.00  1.77  1.00  1.72
138 11076.     5960.        0.     5960. 1.77       0  0.00  1.00  1.77  1.00  1.72
137 10996.     5463.        0.     5463. 1.85       0  0.00  1.00  1.85  1.00  1.80
136 10916.     5262.        0.     5262. 1.88       0  0.00  1.00  1.88  1.00  1.83
135 10836.     5499.        0.     5499. 1.91       0  0.00  1.00  1.91  1.00  1.86
134 10756.     6455.        0.     6455. 1.92       0  0.00  1.00  1.92  1.00  1.86
133 10676.     6764.        0.     6764. 1.96       0  0.00  1.00  1.96  1.00  1.91
132 10596.     7294.        0.     7294. 1.97       0  0.00  1.00  1.97  1.00  1.92
131 10516.     7010.        0.     7010. 1.97       0  0.00  1.00  1.97  1.00  1.91
130 10436.     6514.        0.     6514. 1.90       0  0.00  1.00  1.90  1.00  1.85
129 10356.     6354.        0.     6354. 1.85       0  0.00  1.00  1.85  1.00  1.80
128 10276.    10178.        0.    10178. 1.84       0  0.00  1.00  1.84  1.00  1.78
127 10196.    16714.        0.    16714. 1.76       0  0.00  1.00  1.76  1.00  1.71
126 10116.    23563.        0.    23563. 1.77       0  0.00  1.00  1.77  1.00  1.72
125 10036.    33223.        0.    33223. 1.76       0  0.00  1.00  1.76  1.00  1.71
124  9956.    37509.        0.    37509. 1.74       0  0.00  1.00  1.74  1.00  1.68
123  9876.    44624.        0.    44624. 1.77       0  0.00  1.00  1.77  1.00  1.72
122  9796.    43094.        0.    43094. 1.75       0  0.00  1.00  1.75  1.00  1.70
121  9716.    41720.        0.    41720. 1.74       0  0.00  1.00  1.74  1.00  1.69
120  9636.    42410.        0.    42410. 1.75       0  0.00  1.00  1.75  1.00  1.70
119  9556.    32205.        0.    32205. 1.71       0  0.00  1.00  1.71  1.00  1.66
118  9476.    30523.        0.    30523. 1.75       0  0.00  1.00  1.75  1.00  1.70
117  9396.    22642.        0.    22642. 1.80       0  0.00  1.00  1.80  1.00  1.74
116  9316.    12669.        0.    12669. 1.92       0  0.00  1.00  1.92  1.00  1.85
115  9236.     8053.        0.     8053. 1.96       0  0.00  1.00  1.96  1.00  1.87
114  9156.      107.        0.      107. 2.48       0  0.00  1.00  2.48  1.00  2.28
113  9076.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
112  8996.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
111  8916.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
110  8836.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
109  8756.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
108  8676.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
107  8596.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
106  8516.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
105  8436.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
104  8356.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
103  8276.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
102  8196.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
101  8116.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
100  8036.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 99  7956.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 98  7876.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 97  7796.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 96  7716.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 95  7636.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 94  7556.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 93  7476.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 92  7396.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 91  7316.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 90  7236.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 89  7156.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 88  7076.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 87  6996.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 86  6916.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 85  6836.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 84  6756.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 83  6676.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 82  6596.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 81  6516.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 80  6436.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 79  6356.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 78  6276.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 77  6196.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 76  6116.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 75  6036.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 74  5956.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 73  5876.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 72  5796.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 71  5716.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
