                    ************************************************************************************************
                    *  Z= 28 A= 60: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 60 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.197  3.50E-01 1.40E+00 6.60E+00 1.91E-01 4.32E-01 4.09E-01 2.45E-01 1.02E-01 3.02E-02 6.55E-03 1.04E-03 1.23E-04 1.08E-05 7.06E-07 3.45E-08 1.26E-09 3.44E-11 7.05E-13 1.08E-14 1.25E-16 1.08E-18 7.05E-21 3.45E-23 1.27E-25 3.51E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.278  7.59E-01 1.63E+00 7.70E+00 2.23E-01 5.04E-01 4.77E-01 2.86E-01 1.19E-01 3.53E-02 7.64E-03 1.22E-03 1.44E-04 1.26E-05 8.24E-07 4.02E-08 1.47E-09 4.02E-11 8.23E-13 1.27E-14 1.46E-16 1.26E-18 8.23E-21 4.03E-23 1.48E-25 4.09E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.341  1.24E+00 1.91E+00 8.99E+00 2.60E-01 5.89E-01 5.57E-01 3.34E-01 1.39E-01 4.12E-02 8.92E-03 1.42E-03 1.68E-04 1.47E-05 9.62E-07 4.69E-08 1.71E-09 4.69E-11 9.61E-13 1.48E-14 1.70E-16 1.48E-18 9.61E-21 4.70E-23 1.73E-25 4.78E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.394  1.79E+00 2.23E+00 1.05E+01 3.04E-01 6.87E-01 6.50E-01 3.90E-01 1.62E-01 4.81E-02 1.04E-02 1.66E-03 1.96E-04 1.72E-05 1.12E-06 5.48E-08 2.00E-09 5.47E-11 1.12E-12 1.72E-14 1.99E-16 1.72E-18 1.12E-20 5.49E-23 2.02E-25 5.58E-28 1.16E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.440  2.44E+00 2.60E+00 1.22E+01 3.55E-01 8.02E-01 7.59E-01 4.55E-01 1.89E-01 5.61E-02 1.21E-02 1.94E-03 2.28E-04 2.00E-05 1.31E-06 6.39E-08 2.33E-09 6.38E-11 1.31E-12 2.01E-14 2.32E-16 2.01E-18 1.31E-20 6.40E-23 2.35E-25 6.51E-28 1.35E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.482  3.20E+00 3.03E+00 1.43E+01 4.14E-01 9.36E-01 8.86E-01 5.31E-01 2.20E-01 6.55E-02 1.42E-02 2.26E-03 2.67E-04 2.34E-05 1.53E-06 7.46E-08 2.72E-09 7.45E-11 1.53E-12 2.35E-14 2.71E-16 2.35E-18 1.53E-20 7.47E-23 2.75E-25 7.59E-28 1.58E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.521  4.08E+00 3.54E+00 1.67E+01 4.83E-01 1.09E+00 1.03E+00 6.20E-01 2.57E-01 7.64E-02 1.65E-02 2.64E-03 3.11E-04 2.73E-05 1.78E-06 8.71E-08 3.18E-09 8.70E-11 1.78E-12 2.74E-14 3.16E-16 2.74E-18 1.78E-20 8.72E-23 3.21E-25 8.86E-28 1.84E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.557  5.12E+00 4.13E+00 1.95E+01 5.64E-01 1.27E+00 1.21E+00 7.23E-01 3.00E-01 8.92E-02 1.93E-02 3.08E-03 3.63E-04 3.19E-05 2.08E-06 1.02E-07 3.71E-09 1.01E-10 2.08E-12 3.20E-14 3.69E-16 3.20E-18 2.08E-20 1.02E-22 3.74E-25 1.03E-27 2.15E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
