                    ************************************************************************************************
                    *  Z= 29 A= 61: Positive-Parity Spin-dependent Level Density [MeV-1] for Cu 61 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.185  3.93E-01 1.57E+00 6.73E+00 3.18E-01 4.53E-01 3.85E-01 2.32E-01 1.05E-01 3.61E-02 9.64E-03 2.01E-03 3.29E-04 4.24E-05 4.32E-06 3.47E-07 2.21E-08 1.11E-09 4.46E-11 1.41E-12 3.56E-14 7.13E-16 1.13E-17 1.44E-19 1.44E-21 1.15E-23 7.34E-26 3.71E-28 1.50E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.262  8.66E-01 1.89E+00 8.11E+00 3.83E-01 5.46E-01 4.64E-01 2.80E-01 1.26E-01 4.35E-02 1.16E-02 2.42E-03 3.97E-04 5.11E-05 5.20E-06 4.18E-07 2.66E-08 1.34E-09 5.37E-11 1.70E-12 4.30E-14 8.60E-16 1.37E-17 1.73E-19 1.74E-21 1.39E-23 8.85E-26 4.48E-28 1.80E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.321  1.44E+00 2.28E+00 9.77E+00 4.62E-01 6.58E-01 5.60E-01 3.37E-01 1.52E-01 5.24E-02 1.40E-02 2.92E-03 4.78E-04 6.16E-05 6.27E-06 5.04E-07 3.21E-08 1.62E-09 6.47E-11 2.05E-12 5.18E-14 1.04E-15 1.65E-17 2.08E-19 2.10E-21 1.68E-23 1.07E-25 5.39E-28 2.17E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.371  2.12E+00 2.75E+00 1.18E+01 5.57E-01 7.92E-01 6.74E-01 4.07E-01 1.83E-01 6.32E-02 1.69E-02 3.52E-03 5.76E-04 7.43E-05 7.56E-06 6.08E-07 3.87E-08 1.95E-09 7.80E-11 2.48E-12 6.24E-14 1.25E-15 1.99E-17 2.51E-19 2.53E-21 2.02E-23 1.28E-25 6.50E-28 2.62E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.415  2.95E+00 3.31E+00 1.42E+01 6.71E-01 9.55E-01 8.13E-01 4.90E-01 2.21E-01 7.61E-02 2.03E-02 4.24E-03 6.95E-04 8.95E-05 9.11E-06 7.32E-07 4.66E-08 2.35E-09 9.40E-11 2.98E-12 7.52E-14 1.50E-15 2.39E-17 3.03E-19 3.04E-21 2.43E-23 1.55E-25 7.84E-28 3.16E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.454  3.95E+00 3.99E+00 1.71E+01 8.09E-01 1.15E+00 9.79E-01 5.90E-01 2.66E-01 9.17E-02 2.45E-02 5.11E-03 8.37E-04 1.08E-04 1.10E-05 8.82E-07 5.62E-08 2.83E-09 1.13E-10 3.60E-12 9.06E-14 1.81E-15 2.89E-17 3.65E-19 3.67E-21 2.93E-23 1.87E-25 9.44E-28 3.80E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.490  5.15E+00 4.81E+00 2.06E+01 9.74E-01 1.39E+00 1.18E+00 7.12E-01 3.21E-01 1.11E-01 2.95E-02 6.16E-03 1.01E-03 1.30E-04 1.32E-05 1.06E-06 6.77E-08 3.41E-09 1.37E-10 4.33E-12 1.09E-13 2.19E-15 3.48E-17 4.40E-19 4.42E-21 3.54E-23 2.25E-25 1.14E-27 4.58E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.524  6.60E+00 5.80E+00 2.50E+01 1.16E+00 1.66E+00 1.42E+00 8.64E-01 3.93E-01 1.37E-01 3.71E-02 7.86E-03 1.31E-03 1.72E-04 1.79E-05 1.47E-06 9.61E-08 4.98E-09 2.05E-10 6.72E-12 1.75E-13 3.64E-15 6.01E-17 7.90E-19 8.29E-21 6.92E-23 4.61E-25 2.45E-27 1.04E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.25  0.556  8.35E+00 6.99E+00 3.10E+01 1.34E+00 1.95E+00 1.71E+00 1.08E+00 5.15E-01 1.90E-01 5.52E-02 1.27E-02 2.31E-03 3.35E-04 3.89E-05 3.62E-06 2.70E-07 1.61E-08 7.74E-10 2.99E-11 9.27E-13 2.32E-14 4.65E-16 7.52E-18 9.80E-20 1.03E-21 8.68E-24 5.91E-26 3.24E-28 1.43E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.586  1.05E+01 8.42E+00 3.84E+01 1.56E+00 2.29E+00 2.06E+00 1.34E+00 6.68E-01 2.60E-01 8.04E-02 1.98E-02 3.92E-03 6.24E-04 8.02E-05 8.33E-06 7.00E-07 4.77E-08 2.63E-09 1.18E-10 4.29E-12 1.27E-13 3.04E-15 5.94E-17 9.42E-19 1.21E-20 1.27E-22 1.09E-24 7.55E-27 4.27E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.615  1.30E+01 1.02E+01 4.75E+01 1.80E+00 2.69E+00 2.47E+00 1.66E+00 8.60E-01 3.52E-01 1.15E-01 3.03E-02 6.46E-03 1.12E-03 1.57E-04 1.81E-05 1.70E-06 1.30E-07 8.16E-09 4.19E-10 1.76E-11 6.08E-13 1.72E-14 3.98E-16 7.55E-18 1.18E-19 1.51E-21 1.58E-23 1.36E-25 9.63E-28 5.59E-30 1.00E-30 1.00E-30 1.00E-30
   3.00  0.642  1.61E+01 1.22E+01 5.88E+01 2.09E+00 3.16E+00 2.96E+00 2.05E+00 1.10E+00 4.70E-01 1.62E-01 4.53E-02 1.03E-02 1.93E-03 2.96E-04 3.74E-05 3.88E-06 3.32E-07 2.34E-08 1.36E-09 6.54E-11 2.60E-12 8.51E-14 2.31E-15 5.17E-17 9.59E-19 1.47E-20 1.87E-22 1.96E-24 1.70E-26 1.22E-28 1.00E-30 1.00E-30 1.00E-30
   3.25  0.668  1.97E+01 1.47E+01 7.25E+01 2.43E+00 3.71E+00 3.54E+00 2.51E+00 1.40E+00 6.22E-01 2.25E-01 6.65E-02 1.62E-02 3.24E-03 5.38E-04 7.39E-05 8.41E-06 7.95E-07 6.25E-08 4.08E-09 2.21E-10 1.00E-11 3.77E-13 1.18E-14 3.08E-16 6.70E-18 1.22E-19 1.84E-21 2.31E-23 2.43E-25 2.13E-27 1.55E-29 1.00E-30 1.00E-30
   3.50  0.694  2.42E+01 1.78E+01 8.95E+01 2.82E+00 4.36E+00 4.24E+00 3.08E+00 1.76E+00 8.16E-01 3.08E-01 9.61E-02 2.48E-02 5.30E-03 9.45E-04 1.40E-04 1.74E-05 1.81E-06 1.57E-07 1.14E-08 6.92E-10 3.53E-11 1.51E-12 5.40E-14 1.62E-15 4.09E-17 8.66E-19 1.54E-20 2.29E-22 2.87E-24 3.01E-26 2.65E-28 1.97E-30 1.00E-30
   3.75  0.718  2.95E+01 2.14E+01 1.10E+02 3.29E+00 5.12E+00 5.06E+00 3.76E+00 2.22E+00 1.06E+00 4.19E-01 1.37E-01 3.72E-02 8.46E-03 1.61E-03 2.58E-04 3.46E-05 3.91E-06 3.72E-07 2.98E-08 2.02E-09 1.15E-10 5.52E-12 2.24E-13 7.66E-15 2.22E-16 5.41E-18 1.11E-19 1.94E-21 2.86E-23 3.55E-25 3.73E-27 3.31E-29 1.00E-30
   4.00  0.741  3.60E+01 2.58E+01 1.36E+02 3.84E+00 6.02E+00 6.04E+00 4.58E+00 2.78E+00 1.37E+00 5.62E-01 1.92E-01 5.49E-02 1.32E-02 2.68E-03 4.58E-04 6.63E-05 8.12E-06 8.41E-07 7.39E-08 5.50E-09 3.48E-10 1.86E-11 8.49E-13 3.28E-14 1.08E-15 3.00E-17 7.11E-19 1.43E-20 2.45E-22 3.56E-24 4.40E-26 4.62E-28 4.13E-30
