                    ************************************************************************************************
                    *  Z= 29 A= 61: Positive-Parity Spin-dependent Level Density [MeV-1] for Cu 61 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.198  1.89E-01 7.57E-01 3.24E+00 1.53E-01 2.18E-01 1.86E-01 1.12E-01 5.04E-02 1.74E-02 4.64E-03 9.69E-04 1.59E-04 2.04E-05 2.08E-06 1.67E-07 1.06E-08 5.37E-10 2.15E-11 6.81E-13 1.72E-14 3.44E-16 5.47E-18 6.91E-20 6.95E-22 5.56E-24 3.54E-26 1.79E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.279  4.48E-01 1.04E+00 4.44E+00 2.10E-01 2.99E-01 2.54E-01 1.53E-01 6.90E-02 2.38E-02 6.36E-03 1.33E-03 2.17E-04 2.80E-05 2.85E-06 2.29E-07 1.46E-08 7.35E-10 2.94E-11 9.33E-13 2.35E-14 4.71E-16 7.49E-18 9.47E-20 9.52E-22 7.61E-24 4.84E-26 2.45E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.342  7.99E-01 1.40E+00 6.01E+00 2.84E-01 4.04E-01 3.44E-01 2.07E-01 9.35E-02 3.22E-02 8.61E-03 1.80E-03 2.94E-04 3.79E-05 3.86E-06 3.10E-07 1.97E-08 9.95E-10 3.98E-11 1.26E-12 3.18E-14 6.37E-16 1.01E-17 1.28E-19 1.29E-21 1.03E-23 6.56E-26 3.32E-28 1.34E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.395  1.27E+00 1.89E+00 8.08E+00 3.82E-01 5.44E-01 4.63E-01 2.79E-01 1.26E-01 4.33E-02 1.16E-02 2.42E-03 3.96E-04 5.10E-05 5.19E-06 4.17E-07 2.65E-08 1.34E-09 5.35E-11 1.70E-12 4.28E-14 8.57E-16 1.36E-17 1.72E-19 1.73E-21 1.39E-23 8.82E-26 4.46E-28 1.80E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.442  1.90E+00 2.52E+00 1.08E+01 5.11E-01 7.27E-01 6.19E-01 3.73E-01 1.68E-01 5.79E-02 1.55E-02 3.23E-03 5.29E-04 6.82E-05 6.93E-06 5.57E-07 3.55E-08 1.79E-09 7.16E-11 2.27E-12 5.72E-14 1.15E-15 1.82E-17 2.30E-19 2.32E-21 1.85E-23 1.18E-25 5.97E-28 2.40E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.484  2.74E+00 3.35E+00 1.44E+01 6.79E-01 9.66E-01 8.22E-01 4.96E-01 2.23E-01 7.70E-02 2.06E-02 4.29E-03 7.03E-04 9.06E-05 9.21E-06 7.41E-07 4.71E-08 2.38E-09 9.51E-11 3.02E-12 7.61E-14 1.52E-15 2.42E-17 3.06E-19 3.08E-21 2.46E-23 1.57E-25 7.93E-28 3.19E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.523  3.85E+00 4.43E+00 1.90E+01 8.97E-01 1.28E+00 1.09E+00 6.55E-01 2.95E-01 1.02E-01 2.72E-02 5.67E-03 9.28E-04 1.20E-04 1.22E-05 9.79E-07 6.23E-08 3.14E-09 1.26E-10 3.99E-12 1.00E-13 2.01E-15 3.20E-17 4.05E-19 4.07E-21 3.25E-23 2.07E-25 1.05E-27 4.22E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.559  5.29E+00 5.78E+00 2.49E+01 1.16E+00 1.66E+00 1.42E+00 8.63E-01 3.94E-01 1.38E-01 3.74E-02 7.97E-03 1.33E-03 1.76E-04 1.85E-05 1.53E-06 1.01E-07 5.26E-09 2.19E-10 7.24E-12 1.91E-13 4.00E-15 6.68E-17 8.90E-19 9.45E-21 8.00E-23 5.40E-25 2.91E-27 1.25E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.25  0.593  7.12E+00 7.32E+00 3.28E+01 1.39E+00 2.02E+00 1.79E+00 1.14E+00 5.55E-01 2.09E-01 6.21E-02 1.46E-02 2.75E-03 4.13E-04 4.98E-05 4.83E-06 3.76E-07 2.36E-08 1.20E-09 4.88E-11 1.61E-12 4.27E-14 9.17E-16 1.59E-17 2.23E-19 2.53E-21 2.32E-23 1.72E-25 1.03E-27 4.98E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.625  9.43E+00 9.24E+00 4.29E+01 1.66E+00 2.47E+00 2.25E+00 1.50E+00 7.67E-01 3.09E-01 9.91E-02 2.55E-02 5.32E-03 8.96E-04 1.23E-04 1.36E-05 1.23E-06 9.11E-08 5.49E-09 2.70E-10 1.08E-11 3.55E-13 9.53E-15 2.09E-16 3.75E-18 5.50E-20 6.60E-22 6.48E-24 5.21E-26 3.43E-28 1.85E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.655  1.23E+01 1.16E+01 5.57E+01 1.99E+00 3.00E+00 2.81E+00 1.94E+00 1.04E+00 4.45E-01 1.53E-01 4.28E-02 9.76E-03 1.82E-03 2.79E-04 3.51E-05 3.63E-06 3.10E-07 2.18E-08 1.26E-09 6.06E-11 2.40E-12 7.83E-14 2.12E-15 4.73E-17 8.73E-19 1.33E-20 1.68E-22 1.76E-24 1.52E-26 1.09E-28 1.00E-30 1.00E-30 1.00E-30
   3.00  0.684  1.60E+01 1.46E+01 7.21E+01 2.37E+00 3.63E+00 3.49E+00 2.49E+00 1.40E+00 6.29E-01 2.31E-01 6.92E-02 1.71E-02 3.50E-03 5.93E-04 8.33E-05 9.73E-06 9.45E-07 7.64E-08 5.15E-09 2.89E-10 1.35E-11 5.28E-13 1.72E-14 4.68E-16 1.06E-17 2.02E-19 3.19E-21 4.23E-23 4.67E-25 4.31E-27 3.33E-29 1.00E-30 1.00E-30
   3.25  0.712  2.05E+01 1.82E+01 9.28E+01 2.83E+00 4.39E+00 4.31E+00 3.18E+00 1.85E+00 8.75E-01 3.39E-01 1.09E-01 2.89E-02 6.42E-03 1.19E-03 1.85E-04 2.41E-05 2.63E-06 2.41E-07 1.86E-08 1.20E-09 6.56E-11 3.01E-12 1.16E-13 3.77E-15 1.03E-16 2.38E-18 4.62E-20 7.56E-22 1.04E-23 1.21E-25 1.19E-27 9.80E-30 1.00E-30
   3.50  0.739  2.62E+01 2.26E+01 1.19E+02 3.38E+00 5.30E+00 5.31E+00 4.02E+00 2.43E+00 1.20E+00 4.88E-01 1.66E-01 4.72E-02 1.13E-02 2.28E-03 3.87E-04 5.56E-05 6.75E-06 6.94E-07 6.04E-08 4.46E-09 2.79E-10 1.48E-11 6.65E-13 2.54E-14 8.24E-16 2.27E-17 5.30E-19 1.05E-20 1.77E-22 2.54E-24 3.09E-26 3.19E-28 2.80E-30
   3.75  0.765  3.32E+01 2.81E+01 1.52E+02 4.02E+00 6.38E+00 6.50E+00 5.05E+00 3.15E+00 1.62E+00 6.91E-01 2.48E-01 7.50E-02 1.92E-02 4.17E-03 7.70E-04 1.21E-04 1.62E-05 1.85E-06 1.80E-07 1.49E-08 1.06E-09 6.40E-11 3.31E-12 1.47E-13 5.55E-15 1.79E-16 4.96E-18 1.17E-19 2.37E-21 4.11E-23 6.09E-25 7.73E-27 8.38E-29
   4.00  0.790  4.19E+01 3.48E+01 1.93E+02 4.78E+00 7.66E+00 7.94E+00 6.31E+00 4.05E+00 2.16E+00 9.62E-01 3.62E-01 1.16E-01 3.16E-02 7.36E-03 1.46E-03 2.50E-04 3.65E-05 4.58E-06 4.93E-07 4.56E-08 3.63E-09 2.48E-10 1.46E-11 7.39E-13 3.22E-14 1.21E-15 3.89E-17 1.08E-18 2.59E-20 5.33E-22 9.47E-24 1.45E-25 1.91E-27
