                    ************************************************************************************************
                    *  Z= 28 A= 61: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 61 and ldmodel= 1  *
   4.25  0.729  5.14E+01 4.05E+01 2.53E+02 4.56E+00 7.62E+00 8.48E+00 7.44E+00 5.43E+00 3.37E+00 1.81E+00 8.42E-01 3.43E-01 1.22E-01 3.82E-02 1.05E-02 2.56E-03 5.48E-04 1.04E-04 1.73E-05 2.55E-06 3.33E-07 3.84E-08 3.92E-09 3.54E-10 2.83E-11 2.00E-12 1.26E-13 6.98E-15 3.43E-16 1.50E-17 5.78E-19 1.98E-20 5.99E-22
   4.50  0.750  6.39E+01 5.01E+01 3.17E+02 5.54E+00 9.29E+00 1.04E+01 9.19E+00 6.77E+00 4.26E+00 2.32E+00 1.10E+00 4.57E-01 1.66E-01 5.34E-02 1.51E-02 3.78E-03 8.35E-04 1.63E-04 2.83E-05 4.34E-06 5.89E-07 7.10E-08 7.59E-09 7.19E-10 6.05E-11 4.51E-12 2.99E-13 1.76E-14 9.18E-16 4.26E-17 1.75E-18 6.41E-20 2.08E-21
   4.75  0.770  7.94E+01 6.19E+01 3.96E+02 6.72E+00 1.13E+01 1.27E+01 1.13E+01 8.45E+00 5.39E+00 2.97E+00 1.43E+00 6.07E-01 2.26E-01 7.43E-02 2.16E-02 5.55E-03 1.26E-03 2.55E-04 4.58E-05 7.28E-06 1.03E-06 1.29E-07 1.44E-08 1.43E-09 1.26E-10 9.93E-12 6.94E-13 4.31E-14 2.38E-15 1.17E-16 5.14E-18 2.01E-19 6.96E-21
   5.00  0.790  9.86E+01 7.66E+01 4.95E+02 8.17E+00 1.38E+01 1.56E+01 1.40E+01 1.05E+01 6.80E+00 3.81E+00 1.87E+00 8.04E-01 3.06E-01 1.03E-01 3.06E-02 8.08E-03 1.90E-03 3.95E-04 7.33E-05 1.21E-05 1.77E-06 2.32E-07 2.70E-08 2.80E-09 2.59E-10 2.14E-11 1.57E-12 1.03E-13 6.02E-15 3.14E-16 1.46E-17 6.05E-19 2.24E-20
   5.50  0.829  1.57E+02 1.17E+02 7.74E+02 1.21E+01 2.05E+01 2.34E+01 2.13E+01 1.64E+01 1.08E+01 6.20E+00 3.14E+00 1.40E+00 5.53E-01 1.94E-01 6.06E-02 1.68E-02 4.18E-03 9.24E-04 1.83E-04 3.22E-05 5.08E-06 7.17E-07 9.04E-08 1.02E-08 1.03E-09 9.32E-11 7.54E-12 5.46E-13 3.54E-14 2.06E-15 1.07E-16 5.00E-18 2.09E-19
   6.00  0.866  2.47E+02 1.79E+02 1.21E+03 1.78E+01 3.05E+01 3.52E+01 3.25E+01 2.53E+01 1.71E+01 1.01E+01 5.23E+00 2.41E+00 9.88E-01 3.61E-01 1.18E-01 3.43E-02 8.96E-03 2.09E-03 4.39E-04 8.25E-05 1.39E-05 2.10E-06 2.86E-07 3.49E-08 3.83E-09 3.77E-10 3.33E-11 2.65E-12 1.90E-13 1.22E-14 7.05E-16 3.66E-17 1.71E-18
   6.50  0.901  3.84E+02 2.74E+02 1.88E+03 2.64E+01 4.54E+01 5.28E+01 4.94E+01 3.91E+01 2.69E+01 1.62E+01 8.66E+00 4.11E+00 1.74E+00 6.61E-01 2.25E-01 6.85E-02 1.87E-02 4.61E-03 1.02E-03 2.04E-04 3.65E-05 5.91E-06 8.60E-07 1.13E-07 1.34E-08 1.43E-09 1.37E-10 1.19E-11 9.32E-13 6.58E-14 4.19E-15 2.41E-16 1.25E-17
   7.00  0.935  5.93E+02 4.19E+02 2.94E+03 3.92E+01 6.76E+01 7.93E+01 7.50E+01 6.03E+01 4.22E+01 2.60E+01 1.42E+01 6.96E+00 3.04E+00 1.20E+00 4.22E-01 1.34E-01 3.84E-02 9.92E-03 2.31E-03 4.87E-04 9.26E-05 1.59E-05 2.47E-06 3.47E-07 4.41E-08 5.07E-09 5.28E-10 4.97E-11 4.23E-12 3.27E-13 2.28E-14 1.44E-15 8.25E-17
   7.50  0.968  9.14E+02 6.41E+02 4.58E+03 5.81E+01 1.01E+02 1.19E+02 1.14E+02 9.29E+01 6.61E+01 4.16E+01 2.33E+01 1.17E+01 5.27E+00 2.14E+00 7.82E-01 2.58E-01 7.71E-02 2.08E-02 5.10E-03 1.13E-03 2.27E-04 4.13E-05 6.82E-06 1.02E-06 1.39E-07 1.71E-08 1.91E-09 1.94E-10 1.79E-11 1.50E-12 1.14E-13 7.89E-15 4.95E-16
   8.00  1.000  1.40E+03 9.81E+02 7.13E+03 8.62E+01 1.50E+02 1.79E+02 1.73E+02 1.43E+02 1.03E+02 6.62E+01 3.79E+01 1.95E+01 9.04E+00 3.78E+00 1.43E+00 4.90E-01 1.52E-01 4.29E-02 1.10E-02 2.55E-03 5.40E-04 1.04E-04 1.81E-05 2.88E-06 4.17E-07 5.49E-08 6.58E-09 7.18E-10 7.13E-11 6.45E-12 5.32E-13 3.99E-14 2.73E-15
   8.50  1.030  2.15E+03 1.50E+03 1.11E+04 1.28E+02 2.24E+02 2.69E+02 2.62E+02 2.19E+02 1.61E+02 1.05E+02 6.15E+01 3.24E+01 1.54E+01 6.62E+00 2.59E+00 9.17E-01 2.96E-01 8.67E-02 2.32E-02 5.64E-03 1.25E-03 2.53E-04 4.66E-05 7.83E-06 1.20E-06 1.68E-07 2.15E-08 2.51E-09 2.68E-10 2.61E-11 2.32E-12 1.88E-13 1.39E-14
   9.00  1.060  3.30E+03 2.29E+03 1.72E+04 1.91E+02 3.35E+02 4.04E+02 3.98E+02 3.36E+02 2.51E+02 1.66E+02 9.92E+01 5.34E+01 2.60E+01 1.15E+01 4.63E+00 1.69E+00 5.66E-01 1.72E-01 4.79E-02 1.22E-02 2.82E-03 5.98E-04 1.16E-04 2.06E-05 3.34E-06 4.96E-07 6.73E-08 8.37E-09 9.53E-10 9.93E-11 9.48E-12 8.28E-13 6.63E-14
   9.50  1.089  5.06E+03 3.51E+03 2.68E+04 2.84E+02 5.00E+02 6.07E+02 6.03E+02 5.16E+02 3.89E+02 2.62E+02 1.59E+02 8.76E+01 4.37E+01 1.98E+01 8.20E+00 3.10E+00 1.07E+00 3.37E-01 9.73E-02 2.57E-02 6.23E-03 1.38E-03 2.81E-04 5.24E-05 8.96E-06 1.40E-06 2.02E-07 2.67E-08 3.23E-09 3.59E-10 3.67E-11 3.44E-12 2.95E-13
  10.00  1.117  7.73E+03 5.35E+03 4.16E+04 4.20E+02 7.44E+02 9.09E+02 9.10E+02 7.88E+02 6.03E+02 4.13E+02 2.56E+02 1.44E+02 7.34E+01 3.42E+01 1.46E+01 5.68E+00 2.03E+00 6.64E-01 1.99E-01 5.49E-02 1.39E-02 3.23E-03 6.91E-04 1.36E-04 2.45E-05 4.07E-06 6.21E-07 8.73E-08 1.13E-08 1.34E-09 1.47E-10 1.48E-11 1.37E-12
  11.00  1.172  1.99E+04 1.22E+04 9.76E+04 9.02E+02 1.61E+03 1.99E+03 2.02E+03 1.79E+03 1.40E+03 9.91E+02 6.35E+02 3.71E+02 1.98E+02 9.68E+01 4.35E+01 1.80E+01 6.83E+00 2.39E+00 7.70E-01 2.29E-01 6.29E-02 1.59E-02 3.72E-03 8.04E-04 1.60E-04 2.95E-05 5.02E-06 7.90E-07 1.15E-07 1.54E-08 1.92E-09 2.20E-10 2.34E-11
  12.00  1.224  4.66E+04 2.68E+04 2.21E+05 1.89E+03 3.38E+03 4.23E+03 4.36E+03 3.92E+03 3.15E+03 2.28E+03 1.50E+03 9.08E+02 5.03E+02 2.57E+02 1.21E+02 5.23E+01 2.10E+01 7.77E+00 2.66E+00 8.45E-01 2.48E-01 6.76E-02 1.71E-02 3.99E-03 8.67E-04 1.74E-04 3.26E-05 5.64E-06 9.06E-07 1.35E-07 1.87E-08 2.40E-09 2.87E-10
  13.00  1.274  1.04E+05 5.73E+04 4.87E+05 3.86E+03 6.96E+03 8.77E+03 9.16E+03 8.36E+03 6.83E+03 5.06E+03 3.43E+03 2.13E+03 1.22E+03 6.44E+02 3.15E+02 1.42E+02 5.97E+01 2.33E+01 8.40E+00 2.82E+00 8.80E-01 2.55E-01 6.88E-02 1.73E-02 4.03E-03 8.76E-04 1.77E-04 3.33E-05 5.84E-06 9.54E-07 1.45E-07 2.05E-08 2.70E-09
  14.00  1.322  2.24E+05 1.20E+05 1.04E+06 7.74E+03 1.40E+04 1.78E+04 1.88E+04 1.74E+04 1.44E+04 1.09E+04 7.54E+03 4.81E+03 2.83E+03 1.54E+03 7.80E+02 3.66E+02 1.60E+02 6.50E+01 2.46E+01 8.68E+00 2.85E+00 8.74E-01 2.50E-01 6.67E-02 1.66E-02 3.85E-03 8.36E-04 1.69E-04 3.20E-05 5.65E-06 9.32E-07 1.44E-07 2.07E-08
  15.00  1.369  4.68E+05 2.45E+05 2.18E+06 1.52E+04 2.76E+04 3.53E+04 3.76E+04 3.52E+04 2.97E+04 2.28E+04 1.61E+04 1.05E+04 6.34E+03 3.55E+03 1.85E+03 8.99E+02 4.07E+02 1.72E+02 6.77E+01 2.49E+01 8.59E+00 2.76E+00 8.31E-01 2.34E-01 6.17E-02 1.52E-02 3.51E-03 7.58E-04 1.53E-04 2.90E-05 5.15E-06 8.55E-07 1.33E-07
  16.00  1.414  9.58E+05 4.90E+05 4.45E+06 2.94E+04 5.36E+04 6.88E+04 7.39E+04 6.99E+04 5.97E+04 4.66E+04 3.35E+04 2.23E+04 1.38E+04 7.90E+03 4.23E+03 2.12E+03 9.89E+02 4.32E+02 1.77E+02 6.76E+01 2.43E+01 8.15E+00 2.57E+00 7.59E-01 2.10E-01 5.47E-02 1.33E-02 3.05E-03 6.56E-04 1.32E-04 2.50E-05 4.44E-06 7.41E-07
  17.00  1.457  1.92E+06 9.63E+05 8.92E+06 5.58E+04 1.02E+05 1.32E+05 1.43E+05 1.36E+05 1.18E+05 9.32E+04 6.80E+04 4.61E+04 2.90E+04 1.70E+04 9.35E+03 4.80E+03 2.31E+03 1.04E+03 4.40E+02 1.74E+02 6.49E+01 2.27E+01 7.45E+00 2.30E+00 6.67E-01 1.82E-01 4.66E-02 1.12E-02 2.55E-03 5.43E-04 1.09E-04 2.06E-05 3.65E-06
  18.00  1.499  3.78E+06 1.86E+06 1.75E+07 1.04E+05 1.91E+05 2.49E+05 2.71E+05 2.61E+05 2.28E+05 1.83E+05 1.35E+05 9.31E+04 5.97E+04 3.58E+04 2.01E+04 1.06E+04 5.21E+03 2.41E+03 1.05E+03 4.30E+02 1.66E+02 6.00E+01 2.05E+01 6.57E+00 1.99E+00 5.65E-01 1.52E-01 3.83E-02 9.12E-03 2.05E-03 4.33E-04 8.63E-05 1.62E-05
  19.00  1.540  7.31E+06 3.53E+06 3.39E+07 1.93E+05 3.54E+05 4.62E+05 5.06E+05 4.91E+05 4.33E+05 3.51E+05 2.64E+05 1.84E+05 1.20E+05 7.33E+04 4.20E+04 2.26E+04 1.14E+04 5.42E+03 2.42E+03 1.02E+03 4.06E+02 1.52E+02 5.35E+01 1.78E+01 5.59E+00 1.66E+00 4.63E-01 1.22E-01 3.04E-02 7.14E-03 1.59E-03 3.32E-04 6.58E-05
  20.00  1.580  1.39E+07 6.62E+06 6.45E+07 3.51E+05 6.46E+05 8.46E+05 9.32E+05 9.12E+05 8.11E+05 6.64E+05 5.05E+05 3.57E+05 2.37E+05 1.47E+05 8.57E+04 4.70E+04 2.43E+04 1.18E+04 5.42E+03 2.34E+03 9.57E+02 3.69E+02 1.34E+02 4.62E+01 1.50E+01 4.60E+00 1.34E+00 3.67E-01 9.51E-02 2.33E-02 5.41E-03 1.19E-03 2.46E-04
  22.50  1.676  8.87E+07 2.99E+07 3.02E+08 1.49E+06 2.75E+06 3.64E+06 4.06E+06 4.03E+06 3.65E+06 3.06E+06 2.39E+06 1.74E+06 1.19E+06 7.68E+05 4.66E+05 2.67E+05 1.45E+05 7.40E+04 3.58E+04 1.64E+04 7.12E+03 2.93E+03 1.14E+03 4.22E+02 1.48E+02 4.90E+01 1.54E+01 4.62E+00 1.31E+00 3.52E-01 8.99E-02 2.18E-02 5.01E-03
  25.00  1.767  4.02E+08 1.25E+08 1.31E+09 5.89E+06 1.10E+07 1.46E+07 1.64E+07 1.65E+07 1.52E+07 1.30E+07 1.04E+07 7.75E+06 5.46E+06 3.62E+06 2.27E+06 1.35E+06 7.60E+05 4.06E+05 2.06E+05 9.88E+04 4.51E+04 1.96E+04 8.07E+03 3.16E+03 1.18E+03 4.18E+02 1.41E+02 4.53E+01 1.38E+01 4.02E+00 1.11E+00 2.92E-01 7.33E-02
  30.00  1.936  9.56E+09 1.83E+09 2.02E+10 7.79E+07 1.46E+08 1.97E+08 2.25E+08 2.31E+08 2.19E+08 1.92E+08 1.59E+08 1.23E+08 9.06E+07 6.32E+07 4.18E+07 2.63E+07 1.57E+07 8.98E+06 4.88E+06 2.53E+06 1.25E+06 5.92E+05 2.67E+05 1.15E+05 4.73E+04 1.86E+04 6.99E+03 2.51E+03 8.61E+02 2.83E+02 8.87E+01 2.66E+01 7.64E+00
  40.00  2.235  2.22E+12 2.21E+11 2.65E+12 8.06E+09 1.52E+10 2.08E+10 2.44E+10 2.58E+10 2.52E+10 2.31E+10 2.00E+10 1.64E+10 1.28E+10 9.51E+09 6.77E+09 4.60E+09 3.00E+09 1.87E+09 1.12E+09 6.46E+08 3.57E+08 1.89E+08 9.64E+07 4.72E+07 2.22E+07 1.01E+07 4.38E+06 1.83E+06 7.39E+05 2.86E+05 1.07E+05 3.83E+04 1.32E+04
  50.00  2.499  1.56E+14 1.53E+13 1.96E+14 4.99E+11 9.49E+11 1.31E+12 1.56E+12 1.68E+12 1.68E+12 1.58E+12 1.41E+12 1.20E+12 9.72E+11 7.56E+11 5.64E+11 4.04E+11 2.79E+11 1.85E+11 1.18E+11 7.29E+10 4.33E+10 2.48E+10 1.37E+10 7.31E+09 3.76E+09 1.87E+09 8.99E+08 4.17E+08 1.87E+08 8.08E+07 3.38E+07 1.36E+07 5.33E+06
  60.00  2.737  7.34E+15 7.19E+14 9.68E+15 2.12E+13 4.06E+13 5.65E+13 6.78E+13 7.41E+13 7.54E+13 7.24E+13 6.60E+13 5.76E+13 4.81E+13 3.86E+13 2.98E+13 2.22E+13 1.59E+13 1.11E+13 7.41E+12 4.80E+12 3.00E+12 1.82E+12 1.07E+12 6.06E+11 3.33E+11 1.77E+11 9.13E+10 4.56E+10 2.21E+10 1.03E+10 4.70E+09 2.07E+09 8.83E+08
  70.00  2.957  2.56E+17 2.49E+16 3.50E+17 6.80E+14 1.30E+15 1.83E+15 2.21E+15 2.44E+15 2.51E+15 2.45E+15 2.27E+15 2.02E+15 1.73E+15 1.42E+15 1.13E+15 8.63E+14 6.40E+14 4.59E+14 3.19E+14 2.14E+14 1.40E+14 8.84E+13 5.43E+13 3.23E+13 1.87E+13 1.05E+13 5.70E+12 3.01E+12 1.55E+12 7.71E+11 3.73E+11 1.76E+11 8.03E+10
  80.00  3.161  7.04E+18 6.79E+17 9.91E+18 1.73E+16 3.33E+16 4.68E+16 5.70E+16 6.35E+16 6.61E+16 6.52E+16 6.14E+16 5.54E+16 4.82E+16 4.04E+16 3.28E+16 2.57E+16 1.95E+16 1.44E+16 1.03E+16 7.13E+15 4.80E+15 3.14E+15 2.00E+15 1.24E+15 7.44E+14 4.35E+14 2.47E+14 1.37E+14 7.36E+13 3.85E+13 1.96E+13 9.74E+12 4.70E+12
  90.00  3.352  1.59E+20 1.52E+19 2.29E+20 3.65E+17 7.04E+17 9.94E+17 1.22E+18 1.36E+18 1.43E+18 1.43E+18 1.36E+18 1.24E+18 1.10E+18 9.34E+17 7.71E+17 6.16E+17 4.78E+17 3.60E+17 2.63E+17 1.87E+17 1.30E+17 8.73E+16 5.72E+16 3.65E+16 2.27E+16 1.37E+16 8.09E+15 4.65E+15 2.60E+15 1.42E+15 7.53E+14 3.90E+14 1.97E+14
 100.00  3.534  3.05E+21 2.89E+20 4.49E+21 6.58E+18 1.27E+19 1.80E+19 2.22E+19 2.50E+19 2.64E+19 2.65E+19 2.55E+19 2.36E+19 2.11E+19 1.82E+19 1.52E+19 1.24E+19 9.76E+18 7.49E+18 5.59E+18 4.06E+18 2.88E+18 1.98E+18 1.33E+18 8.73E+17 5.57E+17 3.47E+17 2.11E+17 1.25E+17 7.23E+16 4.08E+16 2.24E+16 1.21E+16 6.33E+15
 110.00  3.706  5.08E+22 4.78E+21 7.61E+22 1.04E+20 2.01E+20 2.85E+20 3.52E+20 3.98E+20 4.24E+20 4.29E+20 4.16E+20 3.88E+20 3.50E+20 3.06E+20 2.59E+20 2.14E+20 1.71E+20 1.33E+20 1.01E+20 7.50E+19 5.41E+19 3.81E+19 2.61E+19 1.75E+19 1.14E+19 7.31E+18 4.56E+18 2.77E+18 1.65E+18 9.58E+17 5.44E+17 3.01E+17 1.63E+17
 120.00  3.871  7.50E+23 6.99E+22 1.14E+24 1.45E+21 2.81E+21 4.00E+21 4.96E+21 5.64E+21 6.03E+21 6.14E+21 6.00E+21 5.64E+21 5.14E+21 4.54E+21 3.89E+21 3.24E+21 2.63E+21 2.08E+21 1.60E+21 1.20E+21 8.84E+20 6.33E+20 4.43E+20 3.02E+20 2.02E+20 1.32E+20 8.39E+19 5.23E+19 3.19E+19 1.90E+19 1.11E+19 6.31E+18 3.51E+18
 130.00  4.029  9.94E+24 9.19E+23 1.53E+25 1.83E+22 3.55E+22 5.07E+22 6.30E+22 7.19E+22 7.73E+22 7.91E+22 7.77E+22 7.37E+22 6.76E+22 6.02E+22 5.21E+22 4.39E+22 3.60E+22 2.88E+22 2.25E+22 1.72E+22 1.28E+22 9.30E+21 6.61E+21 4.59E+21 3.12E+21 2.08E+21 1.35E+21 8.59E+20 5.34E+20 3.26E+20 1.94E+20 1.13E+20 6.47E+19
 140.00  4.181  1.20E+26 1.10E+25 1.87E+26 2.11E+23 4.10E+23 5.85E+23 7.29E+23 8.36E+23 9.01E+23 9.27E+23 9.16E+23 8.74E+23 8.08E+23 7.25E+23 6.33E+23 5.38E+23 4.46E+23 3.61E+23 2.85E+23 2.20E+23 1.66E+23 1.22E+23 8.83E+22 6.23E+22 4.31E+22 2.91E+22 1.93E+22 1.25E+22 7.92E+21 4.92E+21 3.00E+21 1.79E+21 1.04E+21
 150.00  4.328  1.33E+27 1.21E+26 2.09E+27 2.24E+24 4.35E+24 6.23E+24 7.77E+24 8.93E+24 9.67E+24 9.99E+24 9.92E+24 9.52E+24 8.86E+24 8.01E+24 7.04E+24 6.04E+24 5.05E+24 4.13E+24 3.29E+24 2.57E+24 1.96E+24 1.46E+24 1.07E+24 7.66E+23 5.37E+23 3.68E+23 2.48E+23 1.63E+23 1.05E+23 6.66E+22 4.13E+22 2.51E+22 1.49E+22
 160.00  4.470  1.36E+28 1.23E+27 2.16E+28 2.20E+25 4.28E+25 6.14E+25 7.69E+25 8.86E+25 9.62E+25 9.98E+25 9.96E+25 9.60E+25 8.99E+25 8.17E+25 7.24E+25 6.26E+25 5.28E+25 4.35E+25 3.50E+25 2.76E+25 2.13E+25 1.61E+25 1.19E+25 8.62E+24 6.12E+24 4.25E+24 2.90E+24 1.94E+24 1.27E+24 8.17E+23 5.15E+23 3.18E+23 1.93E+23
