                    ************************************************************************************************
                    *  Z= 28 A= 61: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 61 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.177  3.38E-01 1.35E+00 7.35E+00 1.90E-01 3.03E-01 3.11E-01 2.43E-01 1.54E-01 7.99E-02 3.47E-02 1.27E-02 3.93E-03 1.03E-03 2.30E-04 4.38E-05 7.11E-06 9.85E-07 1.17E-07 1.18E-08 1.02E-09 7.59E-11 4.82E-12 2.63E-13 1.23E-14 4.90E-16 1.68E-17 4.93E-19 1.24E-20 2.69E-22 4.99E-24 7.93E-26 1.08E-27 1.27E-29
   0.50  0.250  7.55E-01 1.67E+00 9.09E+00 2.35E-01 3.75E-01 3.84E-01 3.01E-01 1.90E-01 9.89E-02 4.30E-02 1.57E-02 4.86E-03 1.28E-03 2.85E-04 5.42E-05 8.79E-06 1.22E-06 1.44E-07 1.46E-08 1.27E-09 9.39E-11 5.97E-12 3.25E-13 1.52E-14 6.06E-16 2.08E-17 6.10E-19 1.54E-20 3.33E-22 6.17E-24 9.81E-26 1.34E-27 1.57E-29
   0.75  0.306  1.27E+00 2.07E+00 1.12E+01 2.91E-01 4.63E-01 4.75E-01 3.72E-01 2.35E-01 1.22E-01 5.32E-02 1.94E-02 6.01E-03 1.58E-03 3.52E-04 6.70E-05 1.09E-05 1.51E-06 1.78E-07 1.81E-08 1.57E-09 1.16E-10 7.38E-12 4.02E-13 1.87E-14 7.49E-16 2.57E-17 7.55E-19 1.90E-20 4.11E-22 7.63E-24 1.21E-25 1.66E-27 1.94E-29
   1.00  0.353  1.91E+00 2.56E+00 1.39E+01 3.60E-01 5.73E-01 5.88E-01 4.61E-01 2.91E-01 1.51E-01 6.57E-02 2.40E-02 7.44E-03 1.95E-03 4.36E-04 8.29E-05 1.34E-05 1.86E-06 2.21E-07 2.23E-08 1.94E-09 1.44E-10 9.13E-12 4.97E-13 2.32E-14 9.27E-16 3.18E-17 9.34E-19 2.35E-20 5.09E-22 9.43E-24 1.50E-25 2.05E-27 2.40E-29
   1.25  0.395  2.70E+00 3.16E+00 1.72E+01 4.45E-01 7.08E-01 7.27E-01 5.70E-01 3.59E-01 1.87E-01 8.13E-02 2.97E-02 9.20E-03 2.41E-03 5.39E-04 1.02E-04 1.66E-05 2.30E-06 2.73E-07 2.76E-08 2.39E-09 1.78E-10 1.13E-11 6.14E-13 2.87E-14 1.15E-15 3.93E-17 1.15E-18 2.91E-20 6.29E-22 1.17E-23 1.86E-25 2.53E-27 2.97E-29
   1.50  0.433  3.68E+00 3.91E+00 2.13E+01 5.50E-01 8.76E-01 8.99E-01 7.04E-01 4.45E-01 2.31E-01 1.01E-01 3.68E-02 1.14E-02 2.99E-03 6.67E-04 1.27E-04 2.06E-05 2.85E-06 3.37E-07 3.42E-08 2.96E-09 2.20E-10 1.40E-11 7.60E-13 3.55E-14 1.42E-15 4.86E-17 1.43E-18 3.60E-20 7.78E-22 1.44E-23 2.30E-25 3.13E-27 3.67E-29
   1.75  0.467  4.89E+00 4.83E+00 2.66E+01 6.71E-01 1.07E+00 1.11E+00 8.74E-01 5.58E-01 2.94E-01 1.30E-01 4.83E-02 1.53E-02 4.10E-03 9.38E-04 1.83E-04 3.07E-05 4.39E-06 5.38E-07 5.66E-08 5.10E-09 3.95E-10 2.62E-11 1.50E-12 7.33E-14 3.09E-15 1.12E-16 3.47E-18 9.28E-20 2.13E-21 4.22E-23 7.17E-25 1.05E-26 1.32E-28
   2.00  0.500  6.38E+00 5.98E+00 3.33E+01 8.11E-01 1.30E+00 1.36E+00 1.09E+00 7.04E-01 3.79E-01 1.71E-01 6.55E-02 2.13E-02 5.93E-03 1.41E-03 2.88E-04 5.03E-05 7.56E-06 9.78E-07 1.09E-07 1.04E-08 8.59E-10 6.10E-11 3.74E-12 1.97E-13 8.98E-15 3.53E-16 1.19E-17 3.49E-19 8.80E-21 1.92E-22 3.60E-24 5.84E-26 8.17E-28
   2.25  0.530  8.23E+00 7.39E+00 4.18E+01 9.80E-01 1.58E+00 1.66E+00 1.35E+00 8.88E-01 4.87E-01 2.25E-01 8.84E-02 2.96E-02 8.52E-03 2.10E-03 4.46E-04 8.14E-05 1.28E-05 1.74E-06 2.05E-07 2.07E-08 1.82E-09 1.38E-10 9.02E-12 5.11E-13 2.51E-14 1.06E-15 3.91E-17 1.24E-18 3.43E-20 8.18E-22 1.69E-23 3.02E-25 4.69E-27
   2.50  0.559  1.05E+01 9.14E+00 5.24E+01 1.19E+00 1.93E+00 2.04E+00 1.67E+00 1.12E+00 6.24E-01 2.95E-01 1.19E-01 4.09E-02 1.21E-02 3.10E-03 6.83E-04 1.30E-04 2.14E-05 3.05E-06 3.77E-07 4.04E-08 3.75E-09 3.02E-10 2.11E-11 1.28E-12 6.74E-14 3.08E-15 1.22E-16 4.22E-18 1.27E-19 3.29E-21 7.45E-23 1.47E-24 2.51E-26
   2.75  0.586  1.33E+01 1.13E+01 6.57E+01 1.44E+00 2.34E+00 2.50E+00 2.07E+00 1.41E+00 7.98E-01 3.85E-01 1.59E-01 5.62E-02 1.72E-02 4.53E-03 1.04E-03 2.05E-04 3.53E-05 5.26E-06 6.83E-07 7.70E-08 7.55E-09 6.45E-10 4.79E-11 3.10E-12 1.75E-13 8.58E-15 3.67E-16 1.37E-17 4.44E-19 1.26E-20 3.10E-22 6.67E-24 1.25E-25
   3.00  0.612  1.68E+01 1.40E+01 8.23E+01 1.74E+00 2.85E+00 3.07E+00 2.57E+00 1.76E+00 1.02E+00 5.01E-01 2.11E-01 7.68E-02 2.42E-02 6.58E-03 1.56E-03 3.20E-04 5.73E-05 8.93E-06 1.21E-06 1.44E-07 1.49E-08 1.34E-09 1.06E-10 7.29E-12 4.38E-13 2.30E-14 1.06E-15 4.24E-17 1.49E-18 4.56E-20 1.22E-21 2.87E-23 5.88E-25
   3.25  0.637  2.12E+01 1.73E+01 1.03E+02 2.11E+00 3.47E+00 3.76E+00 3.18E+00 2.21E+00 1.30E+00 6.51E-01 2.81E-01 1.04E-01 3.38E-02 9.48E-03 2.32E-03 4.94E-04 9.20E-05 1.50E-05 2.13E-06 2.64E-07 2.87E-08 2.74E-09 2.28E-10 1.67E-11 1.07E-12 5.97E-14 2.93E-15 1.26E-16 4.77E-18 1.58E-19 4.58E-21 1.17E-22 2.60E-24
   3.50  0.661  2.65E+01 2.14E+01 1.29E+02 2.56E+00 4.22E+00 4.61E+00 3.93E+00 2.77E+00 1.65E+00 8.43E-01 3.71E-01 1.41E-01 4.69E-02 1.36E-02 3.42E-03 7.55E-04 1.46E-04 2.47E-05 3.66E-06 4.77E-07 5.44E-08 5.45E-09 4.80E-10 3.71E-11 2.52E-12 1.50E-13 7.87E-15 3.62E-16 1.47E-17 5.23E-19 1.64E-20 4.51E-22 1.09E-23
   3.75  0.684  3.31E+01 2.65E+01 1.62E+02 3.10E+00 5.14E+00 5.65E+00 4.87E+00 3.47E+00 2.10E+00 1.09E+00 4.89E-01 1.91E-01 6.48E-02 1.93E-02 5.01E-03 1.14E-03 2.29E-04 4.03E-05 6.22E-06 8.46E-07 1.01E-07 1.06E-08 9.86E-10 8.04E-11 5.78E-12 3.66E-13 2.04E-14 1.00E-15 4.35E-17 1.66E-18 5.59E-20 1.66E-21 4.35E-23
   4.00  0.707  4.13E+01 3.27E+01 2.02E+02 3.76E+00 6.26E+00 6.92E+00 6.02E+00 4.34E+00 2.66E+00 1.40E+00 6.42E-01 2.56E-01 8.92E-02 2.72E-02 7.29E-03 1.72E-03 3.56E-04 6.49E-05 1.04E-05 1.48E-06 1.85E-07 2.04E-08 1.98E-09 1.71E-10 1.29E-11 8.68E-13 5.14E-14 2.69E-15 1.24E-16 5.08E-18 1.83E-19 5.85E-21 1.65E-22
