 62Cu   62   29  149  235   60    8    8.874450    5.854610
                                          6      0.822  3.104E-01  3.106E-01  3.800E-04
                                          5      0.859  4.036E-02  4.037E-02  3.500E-04
                                          3      1.006  1.024E-01  1.025E-01  2.710E-04
                                          2      1.208  3.974E-01  3.974E-01  1.870E-04
 24   1.285030   3.0  1  1.000E-15  3 c                  (2,3)+  0                                                                                                                                                                                                                              0.000000       
                                         11      0.587  0.000E+00  0.000E+00  9.000E-04
                                          6      0.859  0.000E+00  0.000E+00  3.500E-04
                                          4      0.997  0.000E+00  0.000E+00  2.470E-04
 25   1.346300   2.0  1  1.000E-15  4 u                    (2)+  0                                                                                                                                                                                                                              0.000000       
                                         12      0.618  0.000E+00  0.000E+00  7.900E-04
                                         10      0.667  0.000E+00  0.000E+00  6.400E-04
                                          3      1.103  0.000E+00  0.000E+00  1.990E-04
                                          2      1.303  0.000E+00  0.000E+00  1.650E-04
 26   1.354300   1.0  1  1.000E-15  4 g                          0                                                                                                                                                                                                                              0.000000       
                                         14      0.439  2.007E-01  2.011E-01  2.000E-03
                                          9      0.710  2.174E-01  2.175E-01  5.500E-04
                                          6      0.928  1.631E-01  1.631E-01  3.300E-04
                                          4      1.066  4.181E-01  4.182E-01  2.130E-04
 27   1.367000   2.0  1  1.000E-15  1 g                          0                                                                                                                                                                                                                              0.000000       
                                          2      1.326  9.998E-01  1.000E+00  1.650E-04
 28   1.370480   5.0  1  2.000E-12  2 u                      5+  0                                                                                                                                                                                                                              0.000000       
                                          6      0.944  1.708E-01  1.708E-01  3.160E-04
                                          5      0.980  8.290E-01  8.292E-01  2.420E-04
 29   1.373900   1.0  1  1.000E-15  2 c                   1,2,3  0                                                                                                                                                                                                                              0.000000       
                                          4      1.086  0.000E+00  0.000E+00  2.050E-04
                                          3      1.130  0.000E+00  0.000E+00  1.890E-04
 30   1.395000   2.0 -1  1.000E-15  0 n                     (+)  0                                                                                                                                                                                                                              0.000000       
 31   1.403300   2.0  1  1.000E-15  3 c                 2+,3,4+  0                                                                                                                                                                                                                              0.000000       
                                         10      0.728  0.000E+00  0.000E+00  5.200E-04
                                          5      1.013  0.000E+00  0.000E+00  2.660E-04
                                          2      1.363  0.000E+00  0.000E+00  1.660E-04
 32   1.410200   1.0 -1  1.000E-15  1 g                       +  0                                                                                                                                                                                                                              0.000000       
                                         15      0.428  9.930E-01  1.000E+00  7.000E-03
 33   1.416100   2.0 -1  1.000E-15  5 g                          0                                                                                                                                                                                                                              0.000000       
                                         12      0.689  0.000E+00  0.000E+00  2.620E-04
                                         11      0.718  0.000E+00  0.000E+00  2.380E-04
                                         10      0.741  0.000E+00  0.000E+00  2.220E-04
                                          3      1.173  0.000E+00  0.000E+00  1.230E-04
                                          2      1.375  0.000E+00  0.000E+00  2.320E-04
 34   1.427500   3.0  1  1.000E-15  2 g                          0                                                                                                                                                                                                                              0.000000       
                                         10      0.753  0.000E+00  0.000E+00  4.800E-04
                                          2      1.392  0.000E+00  0.000E+00  1.670E-04
 35   1.429570   1.0  1  1.000E-15  7 u                      1+  0                                                                                                                                                                                                                              0.000000       
                                         11      0.731  2.413E-02  2.415E-02  6.150E-04
                                          8      0.792  8.963E-02  8.967E-02  4.200E-04
                                          7      0.881  1.448E-01  1.448E-01  3.300E-04
