 61Cu   61   29  122  163   46   10   11.710600    4.800270
  1   0.000000   1.5 -1  1.200E+04  0 u                    3/2-  1 =  1.0000E+02 %EC+%B+                                                                                                                                                                                                        0.000000       
  2   0.475100   0.5 -1  6.600E-13  1 u                    1/2-  0                                                                                                                                                                                                                              0.000000       
                                          1      0.475  9.989E-01  1.000E+00  1.107E-03
  3   0.970060   2.5 -1  6.900E-13  2 u                    5/2-  0                                                                                                                                                                                                                              0.000000       
                                          2      0.495  9.016E-03  9.033E-03  1.960E-03
                                          1      0.970  9.907E-01  9.910E-01  2.430E-04
  4   1.310540   3.5 -1  5.300E-13  2 u                    7/2-  0                                                                                                                                                                                                                              0.000000       
                                          3      0.340  6.189E-02  6.204E-02  2.400E-03
                                          1      1.311  9.378E-01  9.380E-01  1.790E-04
  5   1.394200   2.5 -1  8.500E-13  3 u                    5/2-  0                                                                                                                                                                                                                              0.000000       
                                          3      0.424  2.813E-02  2.819E-02  2.300E-03
                                          2      0.919  1.193E-01  1.194E-01  3.380E-04
                                          1      1.394  8.523E-01  8.524E-01  1.774E-04
  6   1.660460   1.5 -1  1.820E-13  4 u                    3/2-  0                                                                                                                                                                                                                              0.000000       
                                          5      0.266  4.569E-02  4.615E-02  1.000E-02
                                          3      0.690  1.567E-01  1.567E-01  4.850E-04
                                          2      1.185  1.442E-01  1.443E-01  1.760E-04
                                          1      1.661  6.527E-01  6.529E-01  2.100E-04
  7   1.732600   3.5 -1  1.400E-12  4 u                    7/2-  0                                                                                                                                                                                                                              0.000000       
                                          5      0.338  2.287E-02  2.298E-02  4.910E-03
                                          4      0.422  2.225E-01  2.228E-01  1.461E-03
                                          3      0.762  1.360E-01  1.360E-01  4.190E-04
                                          1      1.733  6.180E-01  6.182E-01  2.680E-04
  8   1.904180   2.5 -1  1.800E-13  3 u                    5/2-  0                                                                                                                                                                                                                              0.000000       
                                          4      0.594  2.211E-01  2.212E-01  6.730E-04
                                          3      0.934  4.163E-01  4.164E-01  2.580E-04
                                          1      1.904  3.622E-01  3.623E-01  2.980E-04
  9   1.932660   1.5 -1  8.700E-14  3 u                    3/2-  0                                                                                                                                                                                                                              0.000000       
                                          3      0.962  7.567E-02  7.569E-02  2.700E-04
                                          2      1.458  2.545E-01  2.545E-01  1.626E-04
                                          1      1.932  6.696E-01  6.698E-01  2.950E-04
 10   1.942480   3.5 -1  1.200E-12  5 u                    7/2-  0                                                                                                                                                                                                                              0.000000       
                                          7      0.210  9.891E-02  9.969E-02  7.820E-03
                                          5      0.548  4.976E-03  4.981E-03  1.100E-03
                                          4      0.632  1.918E-01  1.919E-01  6.050E-04
                                          3      0.972  5.995E-01  5.996E-01  2.610E-04
                                          1      1.943  1.037E-01  1.037E-01  3.490E-04
 11   2.088860   0.5 -1  2.800E-14  2 u                  (1/2)-  0                                                                                                                                                                                                                              0.000000       
                                          2      1.613  3.196E-01  3.197E-01  1.930E-04
                                          1      2.089  6.801E-01  6.803E-01  3.800E-04
 12   2.203420   2.5 -1  1.730E-13  4 u                    5/2-  0                                                                                                                                                                                                                              0.000000       
                                          7      0.471  1.143E-01  1.145E-01  1.700E-03
                                          4      0.893  1.874E-01  1.874E-01  2.820E-04
                                          3      1.233  4.684E-01  4.685E-01  1.578E-04
                                          2      1.728  2.295E-01  2.296E-01  2.660E-04
 13   2.295100   4.5 -1  1.800E-12  5 u                    9/2-  0                                                                                                                                                                                                                              0.000000       
                                         10      0.352  7.591E-02  7.609E-02  2.340E-03
                                          7      0.562  1.990E-01  1.992E-01  8.780E-04
                                          5      0.901  2.578E-01  2.579E-01  3.550E-04
                                          4      0.985  3.419E-01  3.420E-01  2.320E-04
                                          3      1.325  1.248E-01  1.248E-01  1.790E-04
 14   2.336470   4.5 -1  4.300E-13  4 u                    9/2-  0                                                                                                                                                                                                                              0.000000       
                                         10      0.393  1.726E-02  1.731E-02  2.800E-03
                                          5      0.942  1.201E-02  1.201E-02  3.180E-04
                                          4      1.026  2.199E-01  2.200E-01  2.150E-04
                                          3      1.366  7.506E-01  7.507E-01  1.800E-04
 15   2.358190   1.5 -1  1.970E-13  4 u                    3/2-  0                                                                                                                                                                                                                              0.000000       
                                          9      0.426  1.076E-01  1.078E-01  2.200E-03
                                          6      0.698  3.088E-01  3.090E-01  5.700E-04
                                          2      1.883  3.470E-01  3.471E-01  3.000E-04
                                          1      2.359  2.360E-01  2.361E-01  5.000E-04
 16   2.399020   3.5 -1  1.210E-13  2 u                    7/2-  0                                                                                                                                                                                                                              0.000000       
                                          4      1.088  4.179E-01  4.179E-01  1.970E-04
                                          3      1.429  5.820E-01  5.821E-01  1.589E-04
 17   2.472460   1.5 -1  7.500E-14  3 u                    3/2-  0                                                                                                                                                                                                                              0.000000       
                                          3      1.502  1.011E-01  1.012E-01  1.830E-04
                                          2      1.997  8.429E-01  8.432E-01  3.160E-04
                                          1      2.472  5.563E-02  5.566E-02  5.400E-04
 18   2.583750   2.5  1  1.020E-13  2 g                          0                                                                                                                                                                                                                              0.000000       
                                         10      0.642  1.803E-01  1.803E-01  3.080E-04
                                          7      0.851  8.195E-01  8.197E-01  1.650E-04
 19   2.584600   2.5 -1  9.800E-14  1 c                 3/2,5/2  0                                                                                                                                                                                                                              0.000000       
                                          1      2.585  9.994E-01  1.000E+00  5.900E-04
 20   2.611720   4.5 -1  2.800E-13  4 u                    9/2-  0                                                                                                                                                                                                                              0.000000       
                                         13      0.317  1.405E-02  1.414E-02  6.000E-03
                                         10      0.669  3.010E-01  3.011E-01  5.310E-04
                                          7      0.879  5.856E-01  5.857E-01  2.990E-04
