                    ************************************************************************************************
                    *  Z= 29 A= 65: Positive-Parity Spin-dependent Level Density [MeV-1] for Cu 65 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.163  2.40E-01 9.58E-01 5.24E+00 1.34E-01 2.14E-01 2.20E-01 1.73E-01 1.10E-01 5.74E-02 2.51E-02 9.26E-03 2.89E-03 7.66E-04 1.73E-04 3.32E-05 5.46E-06 7.68E-07 9.23E-08 9.50E-09 8.37E-10 6.32E-11 4.10E-12 2.27E-13 1.08E-14 4.43E-16 1.55E-17 4.68E-19 1.21E-20 2.69E-22 5.12E-24 8.38E-26 1.18E-27 1.42E-29
   0.50  0.231  5.50E-01 1.24E+00 6.80E+00 1.74E-01 2.77E-01 2.85E-01 2.24E-01 1.42E-01 7.45E-02 3.26E-02 1.20E-02 3.75E-03 9.94E-04 2.24E-04 4.31E-05 7.09E-06 9.96E-07 1.20E-07 1.23E-08 1.09E-09 8.21E-11 5.32E-12 2.95E-13 1.41E-14 5.75E-16 2.02E-17 6.07E-19 1.57E-20 3.49E-22 6.64E-24 1.09E-25 1.53E-27 1.85E-29
   0.75  0.282  9.54E-01 1.61E+00 8.82E+00 2.26E-01 3.60E-01 3.70E-01 2.91E-01 1.85E-01 9.66E-02 4.23E-02 1.56E-02 4.86E-03 1.29E-03 2.91E-04 5.60E-05 9.20E-06 1.29E-06 1.55E-07 1.60E-08 1.41E-09 1.06E-10 6.90E-12 3.83E-13 1.83E-14 7.46E-16 2.62E-17 7.88E-19 2.04E-20 4.52E-22 8.62E-24 1.41E-25 1.98E-27 2.39E-29
   1.00  0.326  1.48E+00 2.09E+00 1.14E+01 2.93E-01 4.67E-01 4.81E-01 3.78E-01 2.40E-01 1.25E-01 5.49E-02 2.02E-02 6.31E-03 1.67E-03 3.78E-04 7.27E-05 1.19E-05 1.68E-06 2.02E-07 2.08E-08 1.83E-09 1.38E-10 8.95E-12 4.97E-13 2.37E-14 9.68E-16 3.40E-17 1.02E-18 2.64E-20 5.87E-22 1.12E-23 1.83E-25 2.57E-27 3.11E-29
   1.25  0.365  2.16E+00 2.72E+00 1.49E+01 3.80E-01 6.06E-01 6.24E-01 4.90E-01 3.11E-01 1.63E-01 7.12E-02 2.63E-02 8.19E-03 2.17E-03 4.90E-04 9.43E-05 1.55E-05 2.18E-06 2.62E-07 2.69E-08 2.37E-09 1.79E-10 1.16E-11 6.45E-13 3.07E-14 1.26E-15 4.41E-17 1.33E-18 3.43E-20 7.62E-22 1.45E-23 2.38E-25 3.34E-27 4.03E-29
   1.50  0.399  3.04E+00 3.53E+00 1.93E+01 4.93E-01 7.87E-01 8.09E-01 6.37E-01 4.04E-01 2.11E-01 9.24E-02 3.41E-02 1.06E-02 2.82E-03 6.36E-04 1.22E-04 2.01E-05 2.83E-06 3.40E-07 3.49E-08 3.08E-09 2.33E-10 1.51E-11 8.37E-13 3.99E-14 1.63E-15 5.72E-17 1.72E-18 4.45E-20 9.88E-22 1.88E-23 3.08E-25 4.33E-27 5.23E-29
   1.75  0.431  4.18E+00 4.58E+00 2.50E+01 6.40E-01 1.02E+00 1.05E+00 8.26E-01 5.24E-01 2.74E-01 1.20E-01 4.42E-02 1.38E-02 3.66E-03 8.25E-04 1.59E-04 2.61E-05 3.67E-06 4.41E-07 4.53E-08 4.00E-09 3.02E-10 1.96E-11 1.09E-12 5.18E-14 2.12E-15 7.42E-17 2.24E-18 5.78E-20 1.28E-21 2.44E-23 4.00E-25 5.62E-27 6.79E-29
   2.00  0.461  5.67E+00 5.94E+00 3.25E+01 8.31E-01 1.33E+00 1.36E+00 1.07E+00 6.80E-01 3.56E-01 1.56E-01 5.74E-02 1.79E-02 4.74E-03 1.07E-03 2.06E-04 3.39E-05 4.76E-06 5.72E-07 5.89E-08 5.19E-09 3.92E-10 2.54E-11 1.41E-12 6.72E-14 2.75E-15 9.63E-17 2.90E-18 7.50E-20 1.66E-21 3.17E-23 5.19E-25 7.30E-27 8.81E-29
   2.25  0.489  7.59E+00 7.71E+00 4.21E+01 1.08E+00 1.72E+00 1.77E+00 1.39E+00 8.82E-01 4.62E-01 2.02E-01 7.44E-02 2.32E-02 6.16E-03 1.39E-03 2.67E-04 4.39E-05 6.17E-06 7.42E-07 7.64E-08 6.73E-09 5.09E-10 3.29E-11 1.83E-12 8.72E-14 3.56E-15 1.25E-16 3.76E-18 9.73E-20 2.16E-21 4.12E-23 6.74E-25 9.47E-27 1.14E-28
   2.50  0.516  1.01E+01 1.00E+01 5.54E+01 1.37E+00 2.20E+00 2.28E+00 1.81E+00 1.17E+00 6.21E-01 2.78E-01 1.05E-01 3.37E-02 9.21E-03 2.15E-03 4.30E-04 7.35E-05 1.08E-05 1.36E-06 1.47E-07 1.37E-08 1.10E-09 7.55E-11 4.47E-12 2.28E-13 9.98E-15 3.77E-16 1.23E-17 3.43E-19 8.28E-21 1.72E-22 3.08E-24 4.76E-26 6.33E-28
   2.75  0.541  1.33E+01 1.30E+01 7.35E+01 1.72E+00 2.77E+00 2.92E+00 2.37E+00 1.56E+00 8.59E-01 3.98E-01 1.57E-01 5.28E-02 1.52E-02 3.78E-03 8.05E-04 1.48E-04 2.34E-05 3.21E-06 3.79E-07 3.87E-08 3.42E-09 2.61E-10 1.72E-11 9.87E-13 4.89E-14 2.09E-15 7.78E-17 2.50E-18 6.97E-20 1.68E-21 3.52E-23 6.38E-25 1.00E-26
   3.00  0.565  1.75E+01 1.68E+01 9.75E+01 2.15E+00 3.50E+00 3.73E+00 3.08E+00 2.08E+00 1.18E+00 5.66E-01 2.32E-01 8.16E-02 2.47E-02 6.48E-03 1.47E-03 2.88E-04 4.89E-05 7.22E-06 9.25E-07 1.03E-07 9.96E-09 8.38E-10 6.14E-11 3.91E-12 2.16E-13 1.04E-14 4.38E-16 1.60E-17 5.10E-19 1.41E-20 3.42E-22 7.19E-24 1.32E-25
   3.25  0.588  2.30E+01 2.19E+01 1.29E+02 2.70E+00 4.43E+00 4.78E+00 4.01E+00 2.77E+00 1.61E+00 7.97E-01 3.39E-01 1.24E-01 3.95E-02 1.09E-02 2.60E-03 5.43E-04 9.85E-05 1.56E-05 2.16E-06 2.60E-07 2.74E-08 2.52E-09 2.03E-10 1.43E-11 8.78E-13 4.72E-14 2.22E-15 9.15E-17 3.30E-18 1.04E-19 2.87E-21 6.94E-23 1.47E-24
   3.50  0.610  3.01E+01 2.84E+01 1.71E+02 3.39E+00 5.60E+00 6.11E+00 5.22E+00 3.68E+00 2.19E+00 1.12E+00 4.91E-01 1.87E-01 6.20E-02 1.79E-02 4.52E-03 9.97E-04 1.92E-04 3.25E-05 4.82E-06 6.27E-07 7.14E-08 7.15E-09 6.28E-10 4.85E-11 3.29E-12 1.96E-13 1.03E-14 4.72E-16 1.91E-17 6.78E-19 2.12E-20 5.83E-22 1.41E-23
   3.75  0.631  3.93E+01 3.68E+01 2.26E+02 4.26E+00 7.08E+00 7.81E+00 6.77E+00 4.86E+00 2.96E+00 1.55E+00 7.05E-01 2.79E-01 9.61E-02 2.90E-02 7.69E-03 1.79E-03 3.65E-04 6.56E-05 1.04E-05 1.45E-06 1.78E-07 1.92E-08 1.84E-09 1.54E-10 1.15E-11 7.51E-13 4.34E-14 2.22E-15 9.98E-17 3.97E-18 1.39E-19 4.32E-21 1.18E-22
   4.00  0.652  5.12E+01 4.78E+01 3.00E+02 5.36E+00 8.97E+00 9.99E+00 8.77E+00 6.42E+00 4.00E+00 2.15E+00 1.01E+00 4.11E-01 1.47E-01 4.63E-02 1.28E-02 3.13E-03 6.76E-04 1.29E-04 2.16E-05 3.22E-06 4.23E-07 4.93E-08 5.08E-09 4.64E-10 3.75E-11 2.68E-12 1.70E-13 9.57E-15 4.77E-16 2.11E-17 8.24E-19 2.86E-20 8.80E-22
