                    ************************************************************************************************
                    *  Z= 29 A= 65: Positive-Parity Spin-dependent Level Density [MeV-1] for Cu 65 and ldmodel= 4  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.163  2.50E-31 1.00E-30 9.00E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.231  5.00E-31 1.00E-30 9.00E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.282  5.63E-02 2.25E-01 4.81E-01 1.22E-01 8.14E-02 1.99E-02 2.14E-03 1.10E-04 2.90E-06 4.26E-08 3.83E-10 2.17E-12 7.58E-15 1.56E-17 2.00E-20 2.23E-21 2.23E-21 2.23E-21 2.23E-21 2.23E-21 2.23E-21 2.23E-21 2.23E-21 2.23E-21 2.23E-21 2.23E-21 2.23E-21 2.23E-21 2.23E-21 2.23E-21 2.23E-21 2.23E-21 2.23E-21
   1.00  0.326  2.12E-01 6.21E-01 1.51E+00 2.91E-01 2.31E-01 7.98E-02 1.55E-02 1.94E-03 1.69E-04 1.09E-05 5.51E-07 2.20E-08 6.69E-10 1.49E-11 2.39E-13 2.72E-15 2.21E-17 1.31E-19 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   1.25  0.365  4.52E-01 9.61E-01 2.84E+00 3.53E-01 3.59E-01 1.80E-01 5.48E-02 1.14E-02 1.76E-03 2.19E-04 2.36E-05 2.22E-06 1.80E-07 1.20E-08 6.47E-10 2.77E-11 9.32E-13 2.47E-14 5.19E-16 8.56E-18 1.15E-19 5.45E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   1.50  0.399  8.23E-01 1.49E+00 5.22E+00 4.63E-01 5.40E-01 3.38E-01 1.38E-01 4.01E-02 8.95E-03 1.66E-03 2.69E-04 4.02E-05 5.46E-06 6.59E-07 6.88E-08 6.08E-09 4.52E-10 2.81E-11 1.46E-12 6.36E-14 2.30E-15 6.96E-17 1.76E-18 4.13E-20 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   1.75  0.431  1.47E+00 2.59E+00 1.06E+01 6.94E-01 8.92E-01 6.54E-01 3.28E-01 1.23E-01 3.68E-02 9.32E-03 2.11E-03 4.41E-04 8.54E-05 1.51E-05 2.38E-06 3.31E-07 4.00E-08 4.23E-09 3.88E-10 3.08E-11 2.12E-12 1.26E-13 6.51E-15 2.90E-16 1.12E-17 3.75E-19 1.51E-20 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   2.00  0.461  2.59E+00 4.46E+00 1.92E+01 1.01E+00 1.36E+00 1.11E+00 6.33E-01 2.76E-01 9.76E-02 2.92E-02 7.78E-03 1.91E-03 4.39E-04 9.36E-05 1.83E-05 3.26E-06 5.19E-07 7.39E-08 9.38E-09 1.06E-09 1.06E-10 9.45E-12 7.44E-13 5.19E-14 3.20E-15 1.75E-16 8.42E-18 3.62E-19 1.79E-20 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   2.25  0.489  4.22E+00 6.55E+00 3.01E+01 1.31E+00 1.87E+00 1.60E+00 1.02E+00 5.00E-01 2.00E-01 6.81E-02 2.04E-02 5.62E-03 1.45E-03 3.51E-04 7.97E-05 1.67E-05 3.19E-06 5.56E-07 8.71E-08 1.23E-08 1.57E-09 1.81E-10 1.87E-11 1.73E-12 1.45E-13 1.08E-14 7.28E-16 4.39E-17 2.38E-18 1.19E-19 9.46E-21 5.00E-21 5.00E-21
   2.50  0.516  6.60E+00 9.49E+00 4.63E+01 1.72E+00 2.54E+00 2.31E+00 1.55E+00 8.47E-01 3.73E-01 1.40E-01 4.60E-02 1.38E-02 3.84E-03 1.01E-03 2.51E-04 5.87E-05 1.28E-05 2.55E-06 4.67E-07 7.77E-08 1.18E-08 1.62E-09 2.02E-10 2.29E-11 2.36E-12 2.20E-13 1.87E-14 1.43E-15 9.99E-17 6.30E-18 3.63E-19 2.29E-20 5.36E-21
   2.75  0.541  1.06E+01 1.61E+01 8.33E+01 2.66E+00 4.04E+00 3.85E+00 2.75E+00 1.57E+00 8.14E-01 3.30E-01 1.15E-01 3.59E-02 1.02E-02 2.72E-03 6.91E-04 1.69E-04 3.95E-05 8.64E-06 1.76E-06 3.31E-07 5.72E-08 9.02E-09 1.30E-09 1.71E-10 2.07E-11 2.28E-12 2.29E-13 2.11E-14 1.77E-15 1.35E-16 9.47E-18 6.09E-19 3.91E-20
   3.00  0.565  1.72E+01 2.63E+01 1.40E+02 4.05E+00 6.30E+00 6.21E+00 4.66E+00 2.81E+00 1.40E+00 6.09E-01 2.25E-01 7.36E-02 2.18E-02 6.02E-03 1.59E-03 4.05E-04 1.00E-04 2.37E-05 5.25E-06 1.09E-06 2.08E-07 3.65E-08 5.91E-09 8.81E-10 1.20E-10 1.51E-11 1.74E-12 1.84E-13 1.79E-14 1.60E-15 1.31E-16 9.84E-18 6.82E-19
   3.25  0.588  2.54E+01 3.29E+01 1.82E+02 4.76E+00 7.51E+00 7.59E+00 5.90E+00 3.72E+00 1.96E+00 9.03E-01 3.57E-01 1.25E-01 3.94E-02 1.16E-02 3.21E-03 8.59E-04 2.24E-04 5.60E-05 1.33E-05 2.96E-06 6.15E-07 1.18E-07 2.10E-08 3.46E-09 5.23E-10 7.29E-11 9.40E-12 1.12E-12 1.22E-13 1.24E-14 1.15E-15 9.90E-17 7.84E-18
   3.50  0.610  3.58E+01 4.17E+01 2.38E+02 5.71E+00 9.13E+00 9.43E+00 7.54E+00 4.95E+00 2.73E+00 1.30E+00 5.53E-01 2.05E-01 6.85E-02 2.11E-02 6.12E-03 1.70E-03 4.57E-04 1.19E-04 2.98E-05 7.05E-06 1.57E-06 3.25E-07 6.25E-08 1.11E-08 1.84E-09 2.81E-10 3.97E-11 5.20E-12 6.32E-13 7.07E-14 7.33E-15 7.04E-16 6.27E-17
   3.75  0.631  4.91E+01 5.30E+01 3.12E+02 6.90E+00 1.11E+01 1.17E+01 9.65E+00 6.54E+00 3.76E+00 1.87E+00 8.34E-01 3.25E-01 1.15E-01 3.69E-02 1.11E-02 3.19E-03 8.82E-04 2.37E-04 6.17E-05 1.53E-05 3.59E-06 7.86E-07 1.62E-07 3.09E-08 5.50E-09 9.09E-10 1.39E-10 1.98E-11 2.62E-12 3.21E-13 3.65E-14 3.86E-15 3.79E-16
   4.00  0.652  6.59E+01 6.72E+01 4.08E+02 8.33E+00 1.36E+01 1.46E+01 1.23E+01 8.57E+00 5.11E+00 2.65E+00 1.21E+00 5.02E-01 1.86E-01 6.23E-02 1.95E-02 5.76E-03 1.63E-03 4.50E-04 1.20E-04 3.07E-05 7.51E-06 1.74E-06 3.77E-07 7.66E-08 1.45E-08 2.57E-09 4.23E-10 6.47E-11 9.21E-12 1.22E-12 1.51E-13 1.73E-14 1.85E-15
