                    ************************************************************************************************
                    *  Z= 29 A= 59: Positive-Parity Spin-dependent Level Density [MeV-1] for Cu 59 and ldmodel= 3  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.218  2.42E-01 9.69E-01 4.73E+00 1.61E-01 2.45E-01 2.33E-01 1.64E-01 9.03E-02 3.97E-02 1.41E-02 4.11E-03 9.79E-04 1.92E-04 3.11E-05 4.16E-06 4.60E-07 4.21E-08 3.20E-09 2.01E-10 1.05E-11 4.57E-13 1.65E-14 4.93E-16 1.23E-17 2.54E-19 4.37E-21 6.24E-23 7.43E-25 7.35E-27 6.05E-29 1.00E-30 1.00E-30 1.00E-30
   0.50  0.309  5.41E-01 1.20E+00 5.89E+00 1.97E-01 3.01E-01 2.87E-01 2.04E-01 1.13E-01 5.05E-02 1.83E-02 5.41E-03 1.32E-03 2.64E-04 4.38E-05 6.02E-06 6.87E-07 6.50E-08 5.11E-09 3.34E-10 1.82E-11 8.22E-13 3.10E-14 9.73E-16 2.54E-17 5.54E-19 1.01E-20 1.52E-22 1.92E-24 2.02E-26 1.77E-28 1.30E-30 1.00E-30 1.00E-30
   0.75  0.378  9.04E-01 1.45E+00 7.36E+00 2.28E-01 3.53E-01 3.45E-01 2.53E-01 1.46E-01 6.84E-02 2.62E-02 8.28E-03 2.17E-03 4.74E-04 8.63E-05 1.31E-05 1.67E-06 1.78E-07 1.59E-08 1.19E-09 7.52E-11 3.97E-12 1.76E-13 6.57E-15 2.06E-16 5.42E-18 1.20E-19 2.24E-21 3.51E-23 4.62E-25 5.12E-27 4.78E-29 1.00E-30 1.00E-30
   1.00  0.437  1.35E+00 1.77E+00 9.21E+00 2.66E-01 4.17E-01 4.15E-01 3.12E-01 1.87E-01 9.14E-02 3.69E-02 1.24E-02 3.47E-03 8.15E-04 1.61E-04 2.68E-05 3.77E-06 4.47E-07 4.47E-08 3.79E-09 2.71E-10 1.64E-11 8.44E-13 3.67E-14 1.35E-15 4.21E-17 1.11E-18 2.49E-20 4.73E-22 7.62E-24 1.04E-25 1.20E-27 1.18E-29 1.00E-30
   1.25  0.488  1.88E+00 2.15E+00 1.15E+01 3.12E-01 4.93E-01 5.00E-01 3.86E-01 2.38E-01 1.21E-01 5.11E-02 1.81E-02 5.38E-03 1.35E-03 2.88E-04 5.20E-05 7.97E-06 1.04E-06 1.15E-07 1.09E-08 8.74E-10 5.99E-11 3.50E-12 1.75E-13 7.42E-15 2.69E-16 8.34E-18 2.20E-19 4.97E-21 9.57E-23 1.58E-24 2.21E-26 2.65E-28 2.72E-30
   1.50  0.535  2.54E+00 2.63E+00 1.44E+01 3.66E-01 5.85E-01 6.03E-01 4.75E-01 3.02E-01 1.59E-01 6.99E-02 2.59E-02 8.14E-03 2.17E-03 4.95E-04 9.60E-05 1.59E-05 2.26E-06 2.75E-07 2.87E-08 2.56E-09 1.96E-10 1.29E-11 7.26E-13 3.52E-14 1.46E-15 5.22E-17 1.60E-18 4.22E-20 9.56E-22 1.86E-23 3.11E-25 4.47E-27 5.52E-29
   1.75  0.578  3.35E+00 3.21E+00 1.80E+01 4.31E-01 6.95E-01 7.27E-01 5.85E-01 3.82E-01 2.07E-01 9.45E-02 3.66E-02 1.21E-02 3.40E-03 8.23E-04 1.71E-04 3.04E-05 4.67E-06 6.17E-07 7.03E-08 6.90E-09 5.84E-10 4.27E-11 2.69E-12 1.47E-13 6.90E-15 2.81E-16 9.85E-18 2.99E-19 7.83E-21 1.78E-22 3.48E-24 5.89E-26 8.62E-28
   2.00  0.618  4.33E+00 3.93E+00 2.25E+01 5.10E-01 8.27E-01 8.76E-01 7.18E-01 4.80E-01 2.68E-01 1.27E-01 5.10E-02 1.76E-02 5.21E-03 1.33E-03 2.93E-04 5.58E-05 9.19E-06 1.31E-06 1.62E-07 1.73E-08 1.61E-09 1.30E-10 9.05E-12 5.49E-13 2.89E-14 1.32E-15 5.25E-17 1.81E-18 5.42E-20 1.41E-21 3.19E-23 6.28E-25 1.07E-26
   2.25  0.655  5.53E+00 4.80E+00 2.81E+01 6.03E-01 9.86E-01 1.06E+00 8.81E-01 6.02E-01 3.45E-01 1.68E-01 7.02E-02 2.52E-02 7.82E-03 2.10E-03 4.89E-04 9.88E-05 1.74E-05 2.65E-06 3.53E-07 4.09E-08 4.13E-09 3.64E-10 2.79E-11 1.87E-12 1.09E-13 5.55E-15 2.47E-16 9.57E-18 3.24E-19 9.58E-21 2.47E-22 5.57E-24 1.10E-25
   2.50  0.691  6.99E+00 5.87E+00 3.50E+01 7.14E-01 1.18E+00 1.27E+00 1.08E+00 7.52E-01 4.42E-01 2.21E-01 9.55E-02 3.56E-02 1.15E-02 3.24E-03 7.94E-04 1.70E-04 3.16E-05 5.16E-06 7.35E-07 9.15E-08 9.98E-09 9.53E-10 7.97E-11 5.84E-12 3.75E-13 2.11E-14 1.04E-15 4.49E-17 1.70E-18 5.66E-20 1.65E-21 4.21E-23 9.45E-25
   2.75  0.725  8.79E+00 7.17E+00 4.36E+01 8.48E-01 1.40E+00 1.54E+00 1.32E+00 9.36E-01 5.63E-01 2.90E-01 1.29E-01 4.98E-02 1.67E-02 4.91E-03 1.26E-03 2.83E-04 5.58E-05 9.65E-06 1.46E-06 1.95E-07 2.29E-08 2.35E-09 2.13E-10 1.70E-11 1.19E-12 7.33E-14 3.98E-15 1.90E-16 7.98E-18 2.96E-19 9.63E-21 2.77E-22 6.99E-24
   3.00  0.757  1.10E+01 8.77E+00 5.42E+01 1.01E+00 1.68E+00 1.85E+00 1.61E+00 1.16E+00 7.14E-01 3.77E-01 1.72E-01 6.87E-02 2.39E-02 7.31E-03 1.96E-03 4.62E-04 9.58E-05 1.75E-05 2.81E-06 3.99E-07 4.99E-08 5.51E-09 5.37E-10 4.62E-11 3.51E-12 2.36E-13 1.40E-14 7.32E-16 3.39E-17 1.39E-18 5.01E-20 1.60E-21 4.53E-23
   3.25  0.788  1.37E+01 1.07E+01 6.73E+01 1.20E+00 2.00E+00 2.23E+00 1.97E+00 1.44E+00 9.02E-01 4.87E-01 2.29E-01 9.39E-02 3.38E-02 1.07E-02 2.99E-03 7.37E-04 1.60E-04 3.08E-05 5.23E-06 7.85E-07 1.04E-07 1.23E-08 1.28E-09 1.19E-10 9.72E-12 7.06E-13 4.54E-14 2.59E-15 1.31E-16 5.90E-18 2.35E-19 8.29E-21 2.60E-22
   3.50  0.817  1.69E+01 1.31E+01 8.35E+01 1.42E+00 2.39E+00 2.69E+00 2.40E+00 1.78E+00 1.13E+00 6.26E-01 3.01E-01 1.27E-01 4.73E-02 1.55E-02 4.49E-03 1.15E-03 2.62E-04 5.27E-05 9.42E-06 1.49E-06 2.10E-07 2.63E-08 2.93E-09 2.89E-10 2.54E-11 1.99E-12 1.38E-13 8.54E-15 4.70E-16 2.30E-17 1.00E-18 3.89E-20 1.34E-21
   3.75  0.846  2.09E+01 1.59E+01 1.03E+02 1.69E+00 2.86E+00 3.24E+00 2.91E+00 2.20E+00 1.42E+00 8.01E-01 3.94E-01 1.71E-01 6.54E-02 2.21E-02 6.65E-03 1.77E-03 4.19E-04 8.82E-05 1.65E-05 2.76E-06 4.10E-07 5.42E-08 6.40E-09 6.73E-10 6.32E-11 5.29E-12 3.95E-13 2.63E-14 1.56E-15 8.31E-17 3.93E-18 1.66E-19 6.28E-21
   4.00  0.874  2.58E+01 1.94E+01 1.28E+02 2.01E+00 3.41E+00 3.89E+00 3.54E+00 2.71E+00 1.78E+00 1.02E+00 5.13E-01 2.28E-01 8.96E-02 3.13E-02 9.70E-03 2.68E-03 6.59E-04 1.45E-04 2.83E-05 4.95E-06 7.73E-07 1.08E-07 1.35E-08 1.50E-09 1.50E-10 1.34E-11 1.07E-12 7.63E-14 4.88E-15 2.79E-16 1.43E-17 6.57E-19 2.70E-20
