                    ************************************************************************************************
                    *  Z= 29 A= 59: Positive-Parity Spin-dependent Level Density [MeV-1] for Cu 59 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.202  3.58E-01 1.43E+00 6.99E+00 2.39E-01 3.63E-01 3.45E-01 2.43E-01 1.33E-01 5.87E-02 2.09E-02 6.08E-03 1.45E-03 2.84E-04 4.60E-05 6.14E-06 6.80E-07 6.23E-08 4.73E-09 2.98E-10 1.56E-11 6.75E-13 2.43E-14 7.29E-16 1.81E-17 3.75E-19 6.45E-21 9.23E-23 1.10E-24 1.09E-26 8.95E-29 1.00E-30 1.00E-30 1.00E-30
   0.50  0.285  7.80E-01 1.69E+00 8.23E+00 2.81E-01 4.27E-01 4.06E-01 2.86E-01 1.57E-01 6.91E-02 2.46E-02 7.15E-03 1.70E-03 3.34E-04 5.41E-05 7.23E-06 8.00E-07 7.33E-08 5.57E-09 3.50E-10 1.83E-11 7.95E-13 2.87E-14 8.58E-16 2.14E-17 4.42E-19 7.60E-21 1.09E-22 1.29E-24 1.28E-26 1.05E-28 1.00E-30 1.00E-30 1.00E-30
   0.75  0.349  1.28E+00 1.98E+00 9.69E+00 3.31E-01 5.03E-01 4.78E-01 3.36E-01 1.85E-01 8.13E-02 2.90E-02 8.42E-03 2.01E-03 3.94E-04 6.37E-05 8.52E-06 9.42E-07 8.63E-08 6.55E-09 4.13E-10 2.16E-11 9.36E-13 3.37E-14 1.01E-15 2.51E-17 5.20E-19 8.95E-21 1.28E-22 1.52E-24 1.51E-26 1.24E-28 1.00E-30 1.00E-30 1.00E-30
   1.00  0.403  1.86E+00 2.34E+00 1.14E+01 3.89E-01 5.92E-01 5.63E-01 3.96E-01 2.18E-01 9.57E-02 3.41E-02 9.91E-03 2.36E-03 4.63E-04 7.50E-05 1.00E-05 1.11E-06 1.02E-07 7.71E-09 4.86E-10 2.54E-11 1.10E-12 3.97E-14 1.19E-15 2.96E-17 6.12E-19 1.05E-20 1.51E-22 1.79E-24 1.77E-26 1.46E-28 1.00E-30 1.00E-30 1.00E-30
   1.25  0.451  2.55E+00 2.75E+00 1.34E+01 4.58E-01 6.97E-01 6.62E-01 4.66E-01 2.56E-01 1.13E-01 4.01E-02 1.17E-02 2.78E-03 5.46E-04 8.83E-05 1.18E-05 1.31E-06 1.20E-07 9.08E-09 5.72E-10 2.99E-11 1.30E-12 4.67E-14 1.40E-15 3.48E-17 7.21E-19 1.24E-20 1.77E-22 2.11E-24 2.09E-26 1.72E-28 1.18E-30 1.00E-30 1.00E-30
   1.50  0.494  3.36E+00 3.24E+00 1.58E+01 5.40E-01 8.21E-01 7.80E-01 5.49E-01 3.02E-01 1.33E-01 4.73E-02 1.37E-02 3.27E-03 6.42E-04 1.04E-04 1.39E-05 1.54E-06 1.41E-07 1.07E-08 6.73E-10 3.52E-11 1.53E-12 5.50E-14 1.65E-15 4.10E-17 8.48E-19 1.46E-20 2.09E-22 2.48E-24 2.46E-26 2.02E-28 1.39E-30 1.00E-30 1.00E-30
   1.75  0.534  4.31E+00 3.81E+00 1.86E+01 6.35E-01 9.66E-01 9.18E-01 6.46E-01 3.55E-01 1.56E-01 5.56E-02 1.62E-02 3.85E-03 7.56E-04 1.22E-04 1.64E-05 1.81E-06 1.66E-07 1.26E-08 7.92E-10 4.14E-11 1.80E-12 6.48E-14 1.94E-15 4.83E-17 9.99E-19 1.72E-20 2.46E-22 2.92E-24 2.89E-26 2.38E-28 1.63E-30 1.00E-30 1.00E-30
   2.00  0.570  5.43E+00 4.49E+00 2.19E+01 7.48E-01 1.14E+00 1.08E+00 7.61E-01 4.18E-01 1.84E-01 6.55E-02 1.90E-02 4.54E-03 8.90E-04 1.44E-04 1.93E-05 2.13E-06 1.95E-07 1.48E-08 9.33E-10 4.88E-11 2.12E-12 7.63E-14 2.28E-15 5.68E-17 1.18E-18 2.02E-20 2.89E-22 3.44E-24 3.41E-26 2.80E-28 1.92E-30 1.00E-30 1.00E-30
   2.25  0.605  6.75E+00 5.28E+00 2.58E+01 8.80E-01 1.34E+00 1.27E+00 8.96E-01 4.92E-01 2.16E-01 7.71E-02 2.24E-02 5.34E-03 1.05E-03 1.70E-04 2.27E-05 2.51E-06 2.30E-07 1.74E-08 1.10E-09 5.74E-11 2.49E-12 8.98E-14 2.69E-15 6.69E-17 1.38E-18 2.38E-20 3.41E-22 4.05E-24 4.01E-26 3.30E-28 2.26E-30 1.00E-30 1.00E-30
   2.50  0.638  8.31E+00 6.22E+00 3.04E+01 1.04E+00 1.58E+00 1.50E+00 1.05E+00 5.80E-01 2.55E-01 9.10E-02 2.65E-02 6.32E-03 1.24E-03 2.01E-04 2.69E-05 2.98E-06 2.74E-07 2.08E-08 1.32E-09 6.89E-11 3.00E-12 1.08E-13 3.25E-15 8.12E-17 1.69E-18 2.91E-20 4.17E-22 4.98E-24 4.95E-26 4.09E-28 2.81E-30 1.00E-30 1.00E-30
   2.75  0.669  1.01E+01 7.32E+00 3.64E+01 1.19E+00 1.82E+00 1.75E+00 1.26E+00 7.08E-01 3.21E-01 1.18E-01 3.58E-02 8.92E-03 1.84E-03 3.15E-04 4.48E-05 5.30E-06 5.22E-07 4.28E-08 2.93E-09 1.67E-10 7.97E-12 3.17E-13 1.05E-14 2.93E-16 6.80E-18 1.32E-19 2.14E-21 2.90E-23 3.29E-25 3.12E-27 2.48E-29 1.00E-30 1.00E-30
   3.00  0.699  1.23E+01 8.62E+00 4.36E+01 1.36E+00 2.10E+00 2.05E+00 1.50E+00 8.62E-01 4.01E-01 1.53E-01 4.79E-02 1.25E-02 2.70E-03 4.86E-04 7.31E-05 9.19E-06 9.67E-07 8.52E-08 6.29E-09 3.90E-10 2.02E-11 8.82E-13 3.23E-14 9.92E-16 2.56E-17 5.54E-19 1.01E-20 1.54E-22 1.99E-24 2.15E-26 1.95E-28 1.49E-30 1.00E-30
   3.25  0.727  1.48E+01 1.01E+01 5.21E+01 1.56E+00 2.43E+00 2.40E+00 1.78E+00 1.05E+00 4.99E-01 1.96E-01 6.37E-02 1.72E-02 3.90E-03 7.38E-04 1.17E-04 1.56E-05 1.75E-06 1.65E-07 1.31E-08 8.75E-10 4.93E-11 2.34E-12 9.38E-14 3.17E-15 9.04E-17 2.17E-18 4.42E-20 7.57E-22 1.10E-23 1.34E-25 1.38E-27 1.21E-29 1.00E-30
   3.50  0.755  1.78E+01 1.19E+01 6.23E+01 1.80E+00 2.81E+00 2.81E+00 2.11E+00 1.27E+00 6.20E-01 2.50E-01 8.41E-02 2.36E-02 5.57E-03 1.10E-03 1.84E-04 2.60E-05 3.09E-06 3.10E-07 2.64E-08 1.90E-09 1.15E-10 5.95E-12 2.60E-13 9.60E-15 3.01E-16 8.00E-18 1.80E-19 3.44E-21 5.58E-23 7.66E-25 8.93E-27 8.83E-29 1.00E-30
   3.75  0.781  2.13E+01 1.41E+01 7.45E+01 2.07E+00 3.25E+00 3.28E+00 2.51E+00 1.53E+00 7.66E-01 3.18E-01 1.10E-01 3.21E-02 7.87E-03 1.63E-03 2.86E-04 4.24E-05 5.33E-06 5.70E-07 5.17E-08 3.98E-09 2.61E-10 1.45E-11 6.87E-13 2.77E-14 9.50E-16 2.77E-17 6.89E-19 1.46E-20 2.63E-22 4.04E-24 5.28E-26 5.88E-28 5.58E-30
   4.00  0.807  2.55E+01 1.66E+01 8.90E+01 2.38E+00 3.76E+00 3.83E+00 2.97E+00 1.85E+00 9.45E-01 4.02E-01 1.44E-01 4.33E-02 1.10E-02 2.38E-03 4.37E-04 6.81E-05 9.04E-06 1.02E-06 9.86E-08 8.11E-09 5.69E-10 3.41E-11 1.75E-12 7.64E-14 2.85E-15 9.11E-17 2.49E-18 5.80E-20 1.16E-21 1.97E-23 2.88E-25 3.59E-27 3.83E-29
