                    ************************************************************************************************
                    *  Z= 28 A= 58: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 58 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.215  7.62E-02 3.05E-01 1.45E+00 4.10E-02 9.32E-02 8.89E-02 5.39E-02 2.27E-02 6.89E-03 1.53E-03 2.50E-04 3.05E-05 2.77E-06 1.88E-07 9.60E-09 3.67E-10 1.06E-11 2.29E-13 3.74E-15 4.59E-17 4.25E-19 2.97E-21 1.57E-23 6.23E-26 1.87E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.304  1.78E-01 4.08E-01 1.94E+00 5.49E-02 1.25E-01 1.19E-01 7.22E-02 3.04E-02 9.22E-03 2.05E-03 3.35E-04 4.08E-05 3.71E-06 2.52E-07 1.29E-08 4.92E-10 1.42E-11 3.07E-13 5.00E-15 6.15E-17 5.69E-19 3.98E-21 2.10E-23 8.35E-26 2.51E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.372  3.12E-01 5.34E-01 2.53E+00 7.19E-02 1.63E-01 1.56E-01 9.44E-02 3.98E-02 1.21E-02 2.68E-03 4.38E-04 5.34E-05 4.85E-06 3.30E-07 1.68E-08 6.44E-10 1.85E-11 4.01E-13 6.54E-15 8.04E-17 7.45E-19 5.21E-21 2.74E-23 1.09E-25 3.28E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.430  4.84E-01 6.87E-01 3.26E+00 9.25E-02 2.10E-01 2.00E-01 1.22E-01 5.12E-02 1.55E-02 3.44E-03 5.64E-04 6.87E-05 6.25E-06 4.25E-07 2.16E-08 8.29E-10 2.39E-11 5.17E-13 8.42E-15 1.04E-16 9.59E-19 6.70E-21 3.53E-23 1.41E-25 4.22E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.481  7.03E-01 8.78E-01 4.17E+00 1.18E-01 2.68E-01 2.56E-01 1.55E-01 6.54E-02 1.98E-02 4.40E-03 7.21E-04 8.78E-05 7.97E-06 5.42E-07 2.76E-08 1.06E-09 3.05E-11 6.60E-13 1.08E-14 1.32E-16 1.22E-18 8.56E-21 4.51E-23 1.79E-25 5.39E-28 1.22E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.526  9.82E-01 1.12E+00 5.30E+00 1.50E-01 3.41E-01 3.26E-01 1.97E-01 8.32E-02 2.52E-02 5.60E-03 9.17E-04 1.12E-04 1.01E-05 6.90E-07 3.52E-08 1.35E-09 3.87E-11 8.39E-13 1.37E-14 1.68E-16 1.56E-18 1.09E-20 5.74E-23 2.28E-25 6.86E-28 1.55E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.569  1.34E+00 1.42E+00 6.72E+00 1.91E-01 4.33E-01 4.13E-01 2.51E-01 1.06E-01 3.20E-02 7.10E-03 1.16E-03 1.42E-04 1.29E-05 8.75E-07 4.46E-08 1.71E-09 4.92E-11 1.06E-12 1.74E-14 2.13E-16 1.98E-18 1.38E-20 7.28E-23 2.90E-25 8.70E-28 1.97E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.608  1.78E+00 1.79E+00 8.52E+00 2.42E-01 5.48E-01 5.23E-01 3.17E-01 1.34E-01 4.06E-02 8.99E-03 1.47E-03 1.79E-04 1.63E-05 1.11E-06 5.65E-08 2.16E-09 6.23E-11 1.35E-12 2.20E-14 2.70E-16 2.50E-18 1.75E-20 9.22E-23 3.67E-25 1.10E-27 2.50E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
